"term1","term2","n","group"
"EGFR","estrogens",6,"BC"
"Enzymes","Aromatase",8,"BC"
"Enzymes","estradiol",17,"BC"
"Enzymes","Estrogen Receptors",4,"BC"
"Enzymes","estrogens",72,"BC"
"EP300","Estrogen Receptor alpha",6,"BC"
"EP300","TP53",9,"BC"
"EPHB2","ERBB2",3,"BC"
"EPHB2","estrogens",3,"BC"
"epidermal growth factor","ERBB2",9,"BC"
"epidermal growth factor","Estrogen Receptor alpha",6,"BC"
"epidermal growth factor","Estrogen Receptors",9,"BC"
"epidermal growth factor","estrogens",6,"BC"
"epidermal growth factor","progesterone",2,"BC"
"epidermal growth factor","Progesterone receptor",5,"BC"
"ERBB2","cytokine",3,"BC"
"ERBB2","Estrogen Receptor alpha",5,"BC"
"ERBB2","NEU1",7,"BC"
"ERBB2","NEURL1",7,"BC"
"ERBB2","TP53",8,"BC"
"ERBB3","ERBB2",50,"BC"
"ERBB3","NEU1",1,"BC"
"ERBB3","NEURL1",1,"BC"
"EREG","estradiol",11,"BC"
"EREG","Estrogen Receptor alpha",34,"BC"
"EREG","Estrogen Receptor beta",14,"BC"
"EREG","Estrogen Receptors",67,"BC"
"EREG","estrogens",40,"BC"
"EREG","Progesterone receptor",8,"BC"
"ERVK-10","Progesterone receptor",9,"BC"
"ERVK-10","Progestins",3,"BC"
"ERVK-18","Progesterone receptor",9,"BC"
"ERVK-18","Progestins",3,"BC"
"ERVK-19","Progesterone receptor",9,"BC"
"ERVK-19","Progestins",3,"BC"
"ERVK-21","Progesterone receptor",9,"BC"
"ERVK-21","Progestins",3,"BC"
"ERVK-24","Progesterone receptor",9,"BC"
"ERVK-24","Progestins",3,"BC"
"ERVK-25","Progesterone receptor",9,"BC"
"ERVK-25","Progestins",3,"BC"
"ERVK-7","Progesterone receptor",9,"BC"
"ERVK-7","Progestins",3,"BC"
"ERVK-8","Progesterone receptor",9,"BC"
"ERVK-8","Progestins",3,"BC"
"ERVK-9","Progesterone receptor",9,"BC"
"ERVK-9","Progestins",3,"BC"
"ESR1","ERBB2",8,"BC"
"ESR1","estradiol",11,"BC"
"ESR1","Estrogen Receptor alpha",40,"BC"
"ESR1","Estrogen Receptor beta",14,"BC"
"ESR1","Estrogen Receptors",69,"BC"
"ESR1","estrogens",54,"BC"
"ESR1","Progesterone receptor",9,"BC"
"ESR2","estradiol",5,"BC"
"ESR2","Estrogen Receptor alpha",24,"BC"
"ESR2","estrogens",33,"BC"
"ESR2","TP53",2,"BC"
"estradiol","Estrogen Receptor alpha",58,"BC"
"estradiol","Estrogen Receptors",101,"BC"
"estradiol","estrogens",33,"BC"
"estradiol","IGF1R",3,"BC"
"estradiol","melatonin",3,"BC"
"estradiol","progesterone",7,"BC"
"estradiol","Progesterone receptor",37,"BC"
"estradiol","TP53",9,"BC"
"estrogen receptor alpha","estrogens",8,"BC"
"Estrogen Receptors","Androgen Receptor",9,"BC"
"Estrogen Receptors","Aromatase",4,"BC"
"Estrogen Receptors","ERBB2",34,"shared"
"Estrogen Receptors","Estrogen Receptor alpha",19,"BC"
"Estrogen Receptors","Estrogen Receptor beta",7,"BC"
"Estrogen Receptors","NEU1",12,"shared"
"Estrogen Receptors","NEURL1",12,"shared"
"Estrogen Receptors","progesterone",10,"BC"
"Estrogen Receptors","Steroid hormone",4,"BC"
"Estrogen Receptors","testosterone",1,"BC"
"Estrogen Receptors","TP53",12,"BC"
"Estrogenic","estradiol",4,"BC"
"Estrogenic","Estrogen Receptor alpha",7,"BC"
"Estrogenic","Estrogen Receptors",19,"BC"
"Estrogenic","estrogens",8,"BC"
"Estrogenic","Progesterone receptor",3,"BC"
"estrogens","ERBB2",18,"BC"
"estrogens","estradiol",33,"BC"
"estrogens","Estrogen Receptors",170,"BC"
"estrogens","IGF1R",4,"BC"
"estrogens","NEU1",3,"BC"
"estrogens","NEURL1",3,"BC"
"estrogens","Oncogenes",3,"BC"
"estrogens","Progesterone receptor",47,"BC"
"estrogens","Prolactin",14,"BC"
"estrogens","Somatotropin",4,"BC"
"estrogens","TP53",12,"BC"
"estrone sulfate","estradiol",14,"BC"
"FGFR","ERBB2",3,"BC"
"FGFR","Estrogen Receptors",1,"BC"
"FOXO3","Estrogen Receptor alpha",7,"BC"
"FRAP1","ERBB2",3,"BC"
"Gamma synuclein","estrogens",1,"BC"
"Glucocorticoids","Estrogen Receptors",2,"BC"
"Glucocorticoids","estrogens",5,"BC"
"Glucuronosyltransferase","estrogens",2,"BC"
"glutathione","melatonin",2,"BC"
"Gonadotropins","estrogens",2,"BC"
"Growth Factor Receptors","Estrogen Receptors",4,"BC"
"H3F3AP6","Androgen Receptor",2,"BC"
"H3F3AP6","estradiol",2,"BC"
"H3F3AP6","Estrogen Receptor alpha",9,"BC"
"H3F3AP6","Oncogenes",2,"BC"
"H3F3AP6","TP53",30,"BC"
"Heat shock proteins","Estrogen Receptor alpha",1,"BC"
"Heat shock proteins","TP53",2,"BC"
"Heregulin","ERBB2",22,"BC"
"Heregulin","Estrogen Receptor alpha",2,"BC"
"Heregulin","NEU1",3,"BC"
"Heregulin","NEURL1",3,"BC"
"HIF1alpha protein","TP53",2,"BC"
"Histone Deacetylase","Estrogen Receptor alpha",2,"BC"
"Hormones","ERBB2",3,"BC"
"Hormones","Estrogen Receptor alpha",4,"BC"
"Hormones","Estrogen Receptors",5,"BC"
"Hormones","TP53",4,"BC"
"HOXA5","TP53",2,"BC"
"HOXB7","Estrogen Receptor alpha",1,"BC"
"HSP90 Heat-Shock Proteins","ERBB2",10,"BC"
"HSP90 Heat-Shock Proteins","Estrogen Receptor alpha",1,"BC"
"HSP90 Heat-Shock Proteins","NEU1",1,"BC"
"HSP90 Heat-Shock Proteins","NEURL1",1,"BC"
"HSP90AA1","ERBB2",9,"BC"
"HSP90AA1","Estrogen Receptor alpha",1,"BC"
"HSP90AA1","NEU1",1,"BC"
"HSP90AA1","NEURL1",1,"BC"
"HSP90B2P","Estrogen Receptor alpha",1,"BC"
"HSPB1","TP53",2,"BC"
"hydrocortisone","estrogens",3,"BC"
"IFI27","ERBB2",4,"BC"
"IGF1","Aromatase",2,"BC"
"IGF1","estradiol",1,"shared"
"IGF1","Estrogen Receptor alpha",5,"BC"
"IGF1","estrogens",6,"shared"
"IGF1","IGF1R",18,"shared"
"IGF1","melatonin",2,"shared"
"IGF1","progesterone",2,"BC"
"IGF1","Progesterone receptor",4,"BC"
"IGF1","TP53",2,"shared"
"IGF1R","Estrogen Receptor alpha",9,"BC"
"IGF2","Estrogen Receptor alpha",1,"BC"
"IGF2","estrogens",2,"BC"
"IGFBP","Estrogen Receptors",1,"BC"
"IL1a","Estrogen Receptors",2,"BC"
"IL1b","Aromatase",3,"BC"
"IL1b","Estrogen Receptor alpha",2,"BC"
"IL6","Aromatase",2,"BC"
"IL6","Estrogen Receptor alpha",2,"BC"
"IL6","estrogens",4,"BC"
"Insulin","Aromatase",2,"BC"
"Insulin","Estrogen Receptors",6,"BC"
"Insulin","estrogens",6,"BC"
"Integrins","TP53",1,"BC"
"Iodide Peroxidase","Antibodies",1,"BC"
"KITLG","TP53",1,"BC"
"Leptin","Aromatase",6,"BC"
"Leptin","ERBB2",3,"BC"
"Leptin","Estrogen Receptor alpha",4,"BC"
"Leptin","Estrogen Receptors",5,"BC"
"Leptin","estrogens",2,"BC"
"Leptin","ICAM1",2,"BC"
"leukemia inhibitory factor","TP53",1,"BC"
"Levodopa","Prolactin",3,"BC"
"Ligands","Estrogen Receptors",8,"BC"
"Ligands","Progesterone receptor",3,"BC"
"MAPK1","ERBB2",3,"BC"
"MAPK1","estrogens",3,"BC"
"Matrix Metalloproteinase 2","TP53",5,"BC"
"Matrix Metalloproteinase 9","ERBB2",2,"BC"
"Matrix Metalloproteinase 9","NEU1",1,"BC"
"Matrix Metalloproteinase 9","NEURL1",1,"BC"
"Matrix Metalloproteinase 9","TP53",2,"BC"
"MDM2","ERBB2",1,"BC"
"MDM2","Estrogen Receptor alpha",3,"BC"
"MDM2","TP53",98,"BC"
"melatonin","Aromatase",6,"BC"
"melatonin","cytokine",2,"BC"
"melatonin","Estrogen Receptor alpha",4,"BC"
"melatonin","Estrogen Receptors",10,"BC"
"melatonin","estrogens",17,"BC"
"melatonin","TP53",2,"BC"
"Mitogen-Activated Protein Kinases","ERBB2",2,"BC"
"Mitogen-Activated Protein Kinases","estradiol",2,"BC"
"Mitogen-Activated Protein Kinases","Estrogen Receptor alpha",17,"BC"
"Mitogen-Activated Protein Kinases","Estrogen Receptor beta",2,"BC"
"Mitogen-Activated Protein Kinases","Estrogen Receptors",6,"BC"
"Mitogen-Activated Protein Kinases","Progesterone receptor",3,"BC"
"Monoclonal Antibodies","Antibodies",8,"BC"
"Monoclonal Antibodies","ERBB2",79,"BC"
"Monoclonal Antibodies","Estrogen Receptors",16,"BC"
"Monoclonal Antibodies","estrogens",3,"BC"
"Monoclonal Antibodies","IGF1R",4,"BC"
"Monoclonal Antibodies","NEU1",8,"BC"
"Monoclonal Antibodies","NEURL1",8,"BC"
"Monoclonal Antibodies","Progesterone receptor",8,"BC"
"Monoclonal Antibodies","TP53",4,"BC"
"MT1A","melatonin",2,"BC"
"MT1B","melatonin",2,"BC"
"MT1E","melatonin",2,"BC"
"MT1F","melatonin",2,"BC"
"MT1G","melatonin",2,"BC"
"MT1H","melatonin",2,"BC"
"MT1IP","melatonin",2,"BC"
"MT1JP","melatonin",2,"BC"
"MT1L","melatonin",2,"BC"
"MT1M","melatonin",2,"BC"
"MT1X","melatonin",2,"BC"
"MTNR1A","melatonin",2,"BC"
"MTOR","ERBB2",3,"BC"
"Multidrug Resistance Associated Protein 1","ERBB2",1,"BC"
"MYC","estrogens",15,"BC"
"MYC","TP53",7,"BC"
"NEU1","NEURL1",2,"BC"
"NEURL1","NEU1",2,"BC"
"NF-kappa B","ERBB2",1,"BC"
"NFKB1","ERBB2",3,"BC"
"NFKB1","Estrogen Receptors",2,"BC"
"NSG1","Androgen Receptor",2,"BC"
"NSG1","estradiol",2,"BC"
"NSG1","Estrogen Receptor alpha",9,"BC"
"NSG1","Oncogenes",2,"BC"
"NSG1","TP53",30,"BC"
"Obesity","estrogens",5,"BC"
"Oncogene Proteins","Aromatase",1,"BC"
"Oncogene Proteins","ERBB2",2,"BC"
"Oncogene Proteins","Estrogen Receptor alpha",1,"BC"
"Oncogene Proteins","TP53",21,"BC"
"osteopontin","Aromatase",1,"BC"
"osteopontin","estradiol",1,"BC"
"osteopontin","ICAM1",1,"BC"
"Oxytocin","Estrogen Receptor alpha",1,"BC"
"PARP1","TP53",2,"BC"
"PAX2","ERBB2",2,"BC"
"PCNA","TP53",2,"BC"
"Phosphoproteins","TP53",2,"BC"
"Phosphotransferases","ERBB2",9,"BC"
"Phosphotransferases","Estrogen Receptor alpha",16,"BC"
"Phosphotransferases","Estrogen Receptors",3,"BC"
"Phosphotransferases","estrogens",2,"BC"
"Phosphotransferases","Oncogenes",3,"BC"
"Plasminogen Activator","estrogens",2,"BC"
"PPIG","estrogens",3,"BC"
"Prolactin","Estrogen Receptor alpha",9,"BC"
"Prolactin","Estrogen Receptors",3,"BC"
"Prolactin","Prolactin Receptor",7,"BC"
"Protein Kinases","Estrogen Receptor alpha",2,"BC"
"Protein Kinases","Progesterone receptor",4,"BC"
"Protein phosphatase","Estrogen Receptor alpha",1,"BC"
"Protein phosphatase","TP53",2,"BC"
"Proto-Oncogene Proteins c-myc","estrogens",2,"BC"
"Proto-Oncogenes","Estrogen Receptors",2,"BC"
"Proto-Oncogenes","Oncogenes",2,"BC"
"PSMD9","ERBB2",4,"BC"
"PTEN","ERBB2",2,"BC"
"PTEN","TP53",4,"BC"
"PTK2","TP53",1,"BC"
"PTPN11","tyrosine",2,"BC"
"RB1","estrogens",1,"BC"
"Retinoblastoma Protein","estrogens",2,"BC"
"Retinoblastoma Protein","Progesterone receptor",2,"BC"
"Retinoblastoma Protein","Progestins",2,"BC"
"Ribonucleases","estrogens",1,"BC"
"SHBG","estradiol",15,"BC"
"SHC1","Estrogen Receptor alpha",3,"BC"
"SHC1","IGF1R",1,"BC"
"SIRT1","TP53",4,"BC"
"Soluble ErbB-1","ERBB2",7,"BC"
"Soluble ErbB-1","estrogens",2,"BC"
"Somatomedins","Estrogen Receptor alpha",8,"BC"
"Somatomedins","Estrogen Receptors",8,"BC"
"Somatomedins","estrogens",3,"BC"
"Somatomedins","IGF1R",4,"BC"
"Somatomedins","progesterone",2,"BC"
"Somatotropin","Prolactin Receptor",3,"BC"
"SSSCA1","ERBB2",4,"BC"
"Steroid hormone","Estrogen Receptor alpha",2,"BC"
"Steroid hormone","estrogens",6,"BC"
"Steroid hormone","Progesterone receptor",6,"BC"
"STK11","ERBB2",2,"BC"
"STK11","Estrogen Receptor alpha",1,"BC"
"survivin","TP53",3,"BC"
"TACSTD2","Antibodies",2,"BC"
"TCEAL1","Androgen Receptor",2,"BC"
"TCEAL1","estradiol",2,"BC"
"TCEAL1","Estrogen Receptor alpha",9,"BC"
"TCEAL1","Oncogenes",2,"BC"
"TCEAL1","TP53",30,"BC"
"Telomerase","steroid hormone receptor",1,"BC"
"TERT","TP53",1,"BC"
"TFF1","estradiol",5,"BC"
"TFF1","Estrogen Receptor alpha",9,"BC"
"TFF1","Estrogen Receptors",11,"BC"
"TFF1","estrogens",10,"BC"
"TGFB1","estrogens",2,"BC"
"Thioredoxin","TP53",2,"BC"
"TIMELESS","Estrogen Receptor alpha",1,"BC"
"TMED7","ERBB2",4,"BC"
"TNF","Aromatase",5,"BC"
"TNF","Estrogen Receptor alpha",2,"BC"
"TP53","Antibodies",2,"BC"
"TP53","Aromatase",3,"BC"
"TP53","Estrogen Receptor alpha",15,"BC"
"TP53","progesterone",2,"BC"
"TRANCE protein","progesterone",5,"BC"
"Transferrin Receptor","TP53",1,"BC"
"Transforming Growth Factor beta","Antibodies",4,"BC"
"Transforming Growth Factor beta","ERBB2",4,"BC"
"Transforming Growth Factor beta","estrogens",2,"BC"
"tyrosine","TP53",1,"BC"
"UBE2L3","estrogens",2,"BC"
"VEGFA","Estrogen Receptor alpha",3,"BC"
"VEGFA","Estrogen Receptor beta",3,"BC"
"VEGFA","estrogens",2,"BC"
"VEGFA","progesterone",2,"BC"
"Androgen Receptor","Breast cancer",1,"BC"
