"term1","term2","n","group","n_pair_b","keep"
"Androgen Receptor","estrogens",19,"shared",0,TRUE
"Androgen Receptor","steroid hormone receptor",2,"BC",0,TRUE
"Androgens","Adiponectin",1,"trait",0,TRUE
"Androgens","AKT1",1,"trait",0,TRUE
"Androgens","Androgen Receptor",7,"BC",0,TRUE
"Androgens","estradiol",4,"shared",0,TRUE
"Androgens","Estrogen Receptors",2,"shared",0,TRUE
"Androgens","Estrogenic",2,"trait",0,TRUE
"Androgens","estrogens",142,"shared",27,TRUE
"Androgens","Estrone",2,"trait",0,TRUE
"Androgens","Gonadotropins",4,"trait",2,TRUE
"Androgens","Insulin",2,"trait",2,TRUE
"Androgens","Leptin",2,"trait",0,TRUE
"Androgens","Lipoproteins",2,"trait",0,TRUE
"Androgens","Prostate-Specific Antigen",1,"trait",0,TRUE
"Androgens","SHBG",4,"trait",2,TRUE
"Androgens","Stanolone",2,"trait",0,TRUE
"Androgens","testosterone",4,"trait",3,TRUE
"Androstenedione","Aromatase",11,"BC",0,TRUE
"Androstenedione","estrogens",6,"shared",0,TRUE
"Androstenedione","Estrone",20,"trait",0,TRUE
"Androstenedione","testosterone",4,"trait",4,TRUE
"ANG","IGF1",1,"trait",0,TRUE
"angiogenin","IGF1",1,"trait",0,TRUE
"angiotensin II","Plasminogen Activator Inhibitor 1",1,"trait",0,TRUE
"Antibodies","Breast cancer",2,"BC",0,TRUE
"Antibodies","Low-Density Lipoproteins",2,"trait",0,TRUE
"Antibodies","Progestins",1,"trait",0,TRUE
"AP4B1","SPARC",1,"BC",0,TRUE
"APOA1","Conjugated Equine Estrogens",1,"trait",0,TRUE
"Apolipoprotein A-I","Conjugated Equine Estrogens",1,"trait",0,TRUE
"Apolipoprotein A-I","estrogens",2,"trait",1,TRUE
"apolipoprotein B-48","Lipoproteins",2,"trait",0,TRUE
"Apolipoproteins","Conjugated Equine Estrogens",1,"trait",0,TRUE
"Apolipoproteins","Dydrogesterone",1,"trait",0,TRUE
"arginine","Alkaline Phosphatase",1,"shared",0,TRUE
"arginine","Lipoproteins",1,"trait",0,TRUE
"Argipressin","Breast cancer",2,"BC",0,TRUE
"Aromatase","Androgens",3,"trait",0,TRUE
"Aromatase","Breast cancer",3,"BC",0,TRUE
"Aromatase","estradiol",17,"shared",3,TRUE
"Aromatase","Estrogen Receptor alpha",2,"BC",0,TRUE
"Aromatase","estrogens",166,"shared",12,TRUE
"Aromatase","Gonadal Steroid Hormones",3,"trait",0,TRUE
"Aromatase","NF-kappa B",1,"trait",0,TRUE
"Aromatase","Progesterone receptor",2,"BC",0,TRUE
"aromatic hydrocarbon receptor","BAX",1,"trait",0,TRUE
"Asparagine","SHBG",2,"trait",0,TRUE
"BAX","TP53",33,"BC",0,TRUE
"Beclomethasone","Osteocalcin",1,"trait",0,TRUE
"BEST1","Adiponectin",1,"trait",0,TRUE
"BEST1","ADRBK1",1,"trait",0,TRUE
"BEST1","Alkaline Phosphatase",2,"trait",0,TRUE
"BEST1","Aromatase",1,"trait",0,TRUE
"BEST1","GRK2",1,"trait",0,TRUE
"beta catenin","Estrogen Receptor alpha",2,"BC",0,TRUE
"BHLHE23","SPARC",1,"BC",0,TRUE
"Binding Proteins","Calcitriol",2,"trait",0,TRUE
"Blood Coagulation Factor","estrogens",2,"trait",1,TRUE
"Bradykinin","alteplase",3,"trait",0,TRUE
"BRCA1","Androgen Receptor",4,"BC",0,TRUE
"BRCA1","Aromatase",6,"BC",0,TRUE
"BRCA1","Estrogen Receptor alpha",19,"BC",0,TRUE
"BRCA1","Estrogen Receptors",11,"BC",0,TRUE
"BRCA1","estrogens",12,"BC",0,TRUE
"BRCA1","Ligase",2,"BC",0,TRUE
"BRCA1","progesterone",2,"BC",0,TRUE
"BRCA1","Progesterone receptor",9,"BC",0,TRUE
"BRCA1","TP53",35,"BC",0,TRUE
"BRD2","estradiol",4,"trait",2,TRUE
"BRD2","GNRH1",8,"trait",0,TRUE
"BRD2","gonadorelin",8,"trait",0,TRUE
"BRD2","Gonadotropins",4,"trait",0,TRUE
"c-myc Genes","estrogens",9,"BC",0,TRUE
"c-myc Genes","TP53",5,"BC",0,TRUE
"C-reactive protein","Estrone",2,"trait",0,TRUE
"C-reactive protein","SHBG",3,"trait",0,TRUE
"C-reactive protein","testosterone",3,"trait",0,TRUE
"CA9","Estrogen Receptors",2,"trait",0,TRUE
"Calcitonin","Hormones",2,"trait",0,TRUE
"Calcitriol","Aromatase",8,"BC",0,TRUE
"Calcitriol","Estrogen Receptor alpha",4,"BC",0,TRUE
"Calcitriol","estrogens",2,"BC",2,TRUE
"calmodulin-dependent protein kinase II","estrogens",1,"trait",0,TRUE
"CAMP","estradiol",2,"BC",0,TRUE
"CAMP","Estrogen Receptor alpha",1,"BC",0,TRUE
"CAMP","Progesterone receptor",3,"BC",0,TRUE
"caspase-8","estradiol",1,"BC",0,TRUE
"Catechol O-Methyltransferase","Estrogens, Catechol",2,"trait",0,TRUE
"CATHEPSIN D","estrogens",2,"BC",0,TRUE
"caveolin 1","Estrogen Receptor alpha",2,"BC",0,TRUE
"caveolin 1","Estrogen Receptors",2,"BC",0,TRUE
"CD8B","Antibodies",2,"BC",0,TRUE
"CD8B1","Antibodies",2,"BC",0,TRUE
"CDKN1A","Androgen Receptor",2,"BC",0,TRUE
"CDKN1A","estradiol",2,"BC",0,TRUE
"CDKN1A","Estrogen Receptor alpha",9,"BC",0,TRUE
"CDKN1A","Oncogenes",2,"BC",0,TRUE
"CDKN1A","TP53",37,"BC",1,TRUE
"Chemokine CXCL12","EPHB2",4,"BC",0,TRUE
"Chemokine CXCL12","epidermal growth factor",2,"BC",0,TRUE
"Chemokine CXCL12","MAPK1",4,"BC",0,TRUE
"CHGA","ERBB2",1,"shared",0,TRUE
"Chromatin","Estrogen Receptor alpha",6,"BC",0,TRUE
"Chromatin","Estrogen Receptors",2,"BC",0,TRUE
"Chromatin","TP53",2,"BC",0,TRUE
"collagen","Antibodies",2,"BC",0,TRUE
"collagen","Aromatase",1,"BC",0,TRUE
"collagen type I","Alkaline Phosphatase",2,"trait",0,TRUE
"Complement System Proteins","estrogens",2,"trait",0,TRUE
"Conjugated Equine Estrogens","Blood Coagulation Factor",1,"trait",0,TRUE
"Conjugated Equine Estrogens","IGF1",3,"trait",0,TRUE
"Conjugated Equine Estrogens","Leptin",1,"trait",0,TRUE
"Conjugated Equine Estrogens","Medroxyprogesterone 17-Acetate",19,"trait",6,TRUE
"Conjugated Equine Estrogens","Progestins",3,"trait",0,TRUE
"CST12P","Steryl-sulfatase",1,"trait",0,TRUE
"CST12P","STS",1,"trait",0,TRUE
"CXCL9","cytokine",1,"trait",0,TRUE
"Cyclin D1","ERBB2",3,"BC",0,TRUE
"Cyclin D1","Estrogen Receptor alpha",10,"BC",0,TRUE
"Cyclin D1","Estrogen Receptors",17,"BC",0,TRUE
"Cyclin D1","estrogens",16,"BC",0,TRUE
"Cyclin D1","Progesterone receptor",5,"BC",0,TRUE
"Cyclin D1","Progestins",1,"BC",0,TRUE
"Cyclin D1","TP53",10,"BC",0,TRUE
"Cyclin E","Androgen Receptor",1,"shared",0,TRUE
"cyclooxygenase 2","Aromatase",7,"BC",0,TRUE
"cyclooxygenase 2","TP53",2,"BC",0,TRUE
"CYP19A1","estrogens",15,"shared",0,TRUE
"CYP19A1","Gonadal Steroid Hormones",2,"trait",0,TRUE
"CYP3A4","Medroxyprogesterone 17-Acetate",2,"BC",0,TRUE
"Cytochrome P450","Acids",2,"trait",0,TRUE
"Cytochrome P450 3A4","estrogens",2,"shared",0,TRUE
"cytokine","Breast cancer",2,"BC",0,TRUE
"cytokine","estrogens",9,"shared",5,TRUE
"cytokine","IL10",3,"trait",0,TRUE
"cytokine","PTH",1,"trait",0,TRUE
"DBT","Steryl-sulfatase",1,"trait",0,TRUE
"DBT","STS",1,"trait",0,TRUE
"dehydroepiandrosterone","Androgens",16,"trait",9,TRUE
"dehydroepiandrosterone","Androstenedione",3,"trait",0,TRUE
"dehydroepiandrosterone","estradiol",12,"shared",6,TRUE
"dehydroepiandrosterone","Estrogen Receptor alpha",3,"BC",0,TRUE
"dehydroepiandrosterone","estrogens",13,"shared",4,TRUE
"dehydroepiandrosterone","hydrocortisone",2,"trait",0,TRUE
"dehydroepiandrosterone","NOS3",1,"trait",0,TRUE
"deoxypyridinoline","collagen",2,"trait",0,TRUE
"deoxypyridinoline","pyridinoline",2,"trait",2,TRUE
"dienogest","estradiol",1,"trait",0,TRUE
"dienogest","estradiol valerate",2,"trait",0,TRUE
"DIO3","Minerals",1,"trait",0,TRUE
"DMD","Adiponectin",1,"trait",0,TRUE
"DMD","ADRBK1",1,"trait",0,TRUE
"DMD","Alkaline Phosphatase",2,"trait",0,TRUE
"DMD","Aromatase",1,"trait",0,TRUE
"DMD","GRK2",1,"trait",0,TRUE
"Dydrogesterone","Breast cancer",1,"BC",0,TRUE
"Dydrogesterone","Progestins",2,"shared",0,TRUE
"EEF1A2","C-reactive protein",2,"trait",0,TRUE
"EGFR","ERBB2",48,"BC",0,TRUE
"EGFR","Estrogen Receptor alpha",1,"BC",0,TRUE
"EGFR","Estrogen Receptors",18,"shared",0,TRUE
"EGFR","estrogens",6,"shared",2,TRUE
"Endostatins","IGF1",1,"trait",0,TRUE
"Enzymes","Androgens",4,"trait",0,TRUE
"Enzymes","Aromatase",8,"BC",0,TRUE
"Enzymes","dehydroepiandrosterone",2,"trait",0,TRUE
"Enzymes","estradiol",17,"shared",0,TRUE
"Enzymes","Estrogen Receptors",4,"BC",0,TRUE
"Enzymes","estrogens",72,"shared",13,TRUE
"Enzymes","estrone sulfate",2,"trait",0,TRUE
"EPHB2","ERBB2",3,"BC",0,TRUE
"EPHB2","estrogens",3,"BC",0,TRUE
"Ephrin Receptor EphB1","estrogens",3,"trait",2,TRUE
"Ephrin Receptor EphB1","Progesterone receptor",2,"trait",0,TRUE
"epidermal growth factor","ERBB2",9,"BC",0,TRUE
"epidermal growth factor","Estrogen Receptor alpha",6,"BC",0,TRUE
"epidermal growth factor","Estrogen Receptors",9,"BC",0,TRUE
"epidermal growth factor","estrogens",6,"shared",1,TRUE
"epidermal growth factor","progesterone",2,"BC",0,TRUE
"epidermal growth factor","Progesterone receptor",5,"BC",0,TRUE
"epidermal growth factor","Proliferating Cell Nuclear Antigen",2,"trait",2,TRUE
"epinephrine","estradiol",2,"trait",0,TRUE
"erbB-2 Receptor","leptin receptor",1,"trait",0,TRUE
"ERBB2","Breast cancer",6,"BC",0,TRUE
"ERBB2","cytokine",3,"BC",0,TRUE
"ERBB2","Estrogen Receptor alpha",5,"BC",0,TRUE
"ERBB2","leptin receptor",1,"trait",0,TRUE
"ERBB2","NEU1",7,"BC",0,TRUE
"ERBB2","NEURL1",7,"BC",0,TRUE
"ERBB2","TP53",8,"BC",0,TRUE
"EREG","estradiol",11,"BC",2,TRUE
"EREG","Estrogen Receptor alpha",34,"BC",0,TRUE
"EREG","Estrogen Receptor beta",14,"BC",0,TRUE
"EREG","Estrogen Receptors",67,"BC",0,TRUE
"EREG","Estrogenic",1,"trait",0,TRUE
"EREG","estrogens",40,"shared",2,TRUE
"EREG","Progesterone receptor",8,"shared",0,TRUE
"ERVK-10","Progesterone receptor",9,"BC",0,TRUE
"ERVK-10","Progestins",3,"BC",0,TRUE
"ERVK-18","Progesterone receptor",9,"BC",0,TRUE
"ERVK-18","Progestins",3,"BC",0,TRUE
"ERVK-19","Progesterone receptor",9,"BC",0,TRUE
"ERVK-19","Progestins",3,"BC",0,TRUE
"ERVK-21","Progesterone receptor",9,"BC",0,TRUE
"ERVK-21","Progestins",3,"BC",0,TRUE
"ERVK-24","Progesterone receptor",9,"BC",0,TRUE
"ERVK-24","Progestins",3,"BC",0,TRUE
"ERVK-25","Progesterone receptor",9,"BC",0,TRUE
"ERVK-25","Progestins",3,"BC",0,TRUE
"ERVK-7","Progesterone receptor",9,"BC",0,TRUE
"ERVK-7","Progestins",3,"BC",0,TRUE
"ERVK-8","Progesterone receptor",9,"BC",0,TRUE
"ERVK-8","Progestins",3,"BC",0,TRUE
"ERVK-9","Progesterone receptor",9,"BC",0,TRUE
"ERVK-9","Progestins",3,"BC",0,TRUE
"ESR1","ERBB2",8,"BC",0,TRUE
"ESR1","ESR2",4,"trait",0,TRUE
"ESR1","estradiol",11,"BC",2,TRUE
"ESR1","Estrogen Receptor alpha",40,"BC",0,TRUE
"ESR1","Estrogen Receptor beta",14,"BC",0,TRUE
"ESR1","Estrogen Receptors",69,"BC",0,TRUE
"ESR1","Estrogenic",1,"trait",0,TRUE
"ESR1","estrogens",54,"shared",7,TRUE
"ESR1","Progesterone receptor",9,"shared",0,TRUE
"ESR2","estradiol",5,"BC",0,TRUE
"ESR2","Estrogen Receptor alpha",24,"shared",2,TRUE
"ESR2","estrogens",33,"shared",0,TRUE
"ESR2","Progesterone receptor",2,"trait",0,TRUE
"ESR2","TP53",2,"BC",0,TRUE
"estradiol","Albumin",3,"trait",3,TRUE
"estradiol","Breast cancer",7,"BC",0,TRUE
"estradiol","C-reactive protein",3,"trait",2,TRUE
"estradiol","collagen",3,"trait",0,TRUE
"estradiol","Conjugated Equine Estrogens",3,"trait",0,TRUE
"estradiol","Dydrogesterone",11,"trait",2,TRUE
"estradiol","estradiol valerate",2,"trait",0,TRUE
"estradiol","Estriol",4,"trait",2,TRUE
"estradiol","Estrogen Receptor alpha",58,"shared",3,TRUE
"estradiol","Estrogen Receptors",101,"shared",4,TRUE
"estradiol","estrogens",33,"shared",33,TRUE
"estradiol","Follicle Stimulating Hormone",10,"trait",8,TRUE
"estradiol","Gonadotropins",6,"trait",2,TRUE
"estradiol","High Density Lipoproteins",2,"trait",0,TRUE
"estradiol","Hormones",2,"trait",0,TRUE
"estradiol","hydrocortisone",2,"trait",0,TRUE
"estradiol","IGF1",6,"trait",4,TRUE
"estradiol","IGF1R",3,"BC",0,TRUE
"estradiol","IL6",2,"trait",0,TRUE
"estradiol","Insulin",4,"trait",0,TRUE
"estradiol","Leptin",5,"trait",4,TRUE
"estradiol","Lipoproteins",6,"trait",0,TRUE
"estradiol","Low-Density Lipoproteins",4,"trait",0,TRUE
"estradiol","Luteinizing Hormone",4,"trait",4,TRUE
"estradiol","Medroxyprogesterone 17-Acetate",4,"trait",2,TRUE
"estradiol","melatonin",3,"BC",0,TRUE
"estradiol","Norethindrone",6,"trait",3,TRUE
"estradiol","norethindrone acetate",15,"trait",5,TRUE
"estradiol","NOS3",8,"trait",0,TRUE
"estradiol","Peptidyl-Dipeptidase A",2,"trait",0,TRUE
"estradiol","platelet-derived growth factor BB",1,"trait",0,TRUE
"estradiol","Progesterone receptor",37,"shared",0,TRUE
"estradiol","Progestins",18,"trait",11,TRUE
"estradiol","TP53",9,"BC",0,TRUE
"estradiol","Transforming Growth Factor beta",2,"trait",0,TRUE
"estradiol","VEGFA",2,"trait",0,TRUE
"estradiol valerate","Blood Coagulation Factor",1,"trait",0,TRUE
"estradiol valerate","Medroxyprogesterone 17-Acetate",2,"trait",0,TRUE
"Estriol","estrogens",4,"shared",0,TRUE
"Estriol","Estrogens, Conjugated (USP)",2,"trait",0,TRUE
"estrogen receptor alpha","ESR2",2,"trait",0,TRUE
"estrogen receptor alpha","estrogens",8,"BC",2,TRUE
"Estrogen Receptor alpha","Breast cancer",2,"BC",0,TRUE
"Estrogen Receptor alpha","estrogens",107,"shared",19,TRUE
"Estrogen Receptor alpha","Ligase",3,"BC",0,TRUE
"Estrogen Receptor beta","Breast cancer",1,"BC",0,TRUE
"Estrogen Receptor beta","estradiol",11,"shared",2,TRUE
"Estrogen Receptor beta","Estrogen Receptor alpha",57,"shared",4,TRUE
"Estrogen Receptor beta","Estrogenic",1,"trait",0,TRUE
"Estrogen Receptor beta","estrogens",48,"shared",3,TRUE
"Estrogen Receptor beta","Progesterone receptor",2,"shared",0,TRUE
"Estrogen Receptor beta","TP53",2,"BC",0,TRUE
"Estrogen Receptors","Aldosterone",1,"trait",0,TRUE
"Estrogen Receptors","Androgen Receptor",9,"BC",9,TRUE
"Estrogen Receptors","Aromatase",4,"BC",0,TRUE
"Estrogen Receptors","Breast cancer",5,"BC",0,TRUE
"Estrogen Receptors","ERBB2",34,"BC",0,TRUE
"Estrogen Receptors","ESR2",2,"trait",0,TRUE
"Estrogen Receptors","Estrogen Receptor alpha",19,"BC",0,TRUE
"Estrogen Receptors","Estrogen Receptor beta",7,"shared",0,TRUE
"Estrogen Receptors","NEU1",12,"BC",0,TRUE
"Estrogen Receptors","NEURL1",12,"BC",0,TRUE
"Estrogen Receptors","NOS3",2,"trait",0,TRUE
"Estrogen Receptors","NTRK2",1,"trait",0,TRUE
"Estrogen Receptors","progesterone",10,"BC",0,TRUE
"Estrogen Receptors","PTEN",2,"trait",0,TRUE
"Estrogen Receptors","PTEN Phosphohydrolase",2,"trait",0,TRUE
"Estrogen Receptors","Receptor, trkB",1,"trait",0,TRUE
"Estrogen Receptors","Steroid hormone",4,"BC",0,TRUE
"Estrogen Receptors","testosterone",1,"shared",0,TRUE
"Estrogen Receptors","TP53",12,"BC",2,TRUE
"Estrogen Receptors","Vitamin D3 Receptor",3,"trait",0,TRUE
"Estrogenic","dehydroepiandrosterone",2,"trait",0,TRUE
"Estrogenic","estradiol",4,"BC",0,TRUE
"Estrogenic","Estrogen Receptor alpha",7,"BC",0,TRUE
"Estrogenic","Estrogen Receptors",19,"BC",2,TRUE
"Estrogenic","estrogens",8,"BC",3,TRUE
"Estrogenic","Progesterone receptor",3,"BC",0,TRUE
"estrogens","ADRBK1",1,"trait",0,TRUE
"estrogens","Aldosterone",3,"trait",0,TRUE
"estrogens","AP4B1",1,"trait",0,TRUE
"estrogens","Argipressin",2,"trait",0,TRUE
"estrogens","BEST1",2,"trait",0,TRUE
"estrogens","BHLHE23",1,"trait",0,TRUE
"estrogens","BRD2",4,"trait",0,TRUE
"estrogens","Breast cancer",9,"BC",0,TRUE
"estrogens","C-reactive protein",18,"trait",0,TRUE
"estrogens","Calcitonin",9,"trait",0,TRUE
"estrogens","Calcitriol",2,"trait",2,TRUE
"estrogens","collagen",10,"trait",0,TRUE
"estrogens","Conjugated Equine Estrogens",4,"trait",2,TRUE
"estrogens","DMD",2,"trait",0,TRUE
"estrogens","ERBB2",18,"BC",0,TRUE
"estrogens","estradiol",33,"shared",33,TRUE
"estrogens","Estrogen Receptors",170,"shared",18,TRUE
"estrogens","Follicle Stimulating Hormone",5,"trait",3,TRUE
"estrogens","ghrelin",1,"trait",0,TRUE
"estrogens","Globulins",2,"trait",2,TRUE
"estrogens","Glycoproteins",2,"trait",0,TRUE
"estrogens","Gonadal Steroid Hormones",14,"trait",8,TRUE
"estrogens","gonadorelin",7,"trait",4,TRUE
"estrogens","Gonadotropins",10,"trait",2,TRUE
"estrogens","GRK2",1,"trait",0,TRUE
"estrogens","High Density Lipoproteins",8,"trait",0,TRUE
"estrogens","homocysteine",4,"trait",0,TRUE
"estrogens","HSPB1",1,"trait",0,TRUE
"estrogens","IGF1",18,"trait",7,TRUE
"estrogens","IGF1R",4,"BC",0,TRUE
"estrogens","IL1b",2,"trait",2,TRUE
"estrogens","IL6",7,"trait",4,TRUE
"estrogens","Insulin",7,"trait",6,TRUE
"estrogens","Leptin",14,"trait",2,TRUE
"estrogens","Lipoproteins",31,"trait",7,TRUE
"estrogens","Low-Density Lipoproteins",13,"trait",0,TRUE
"estrogens","Luteinizing Hormone",2,"trait",0,TRUE
"estrogens","Matrix Metalloproteinases",3,"trait",0,TRUE
"estrogens","Minerals",2,"trait",0,TRUE
"estrogens","Mitogen-Activated Protein Kinases",2,"trait",0,TRUE
"estrogens","MMP",2,"trait",0,TRUE
"estrogens","NEU1",3,"BC",0,TRUE
"estrogens","NEURL1",3,"BC",0,TRUE
"estrogens","norethindrone acetate",2,"trait",0,TRUE
"estrogens","NOS3",27,"trait",2,TRUE
"estrogens","Oncogenes",3,"BC",0,TRUE
"estrogens","Osteocalcin",2,"trait",1,TRUE
"estrogens","Oxytocin",1,"trait",0,TRUE
"estrogens","Peptidyl-Dipeptidase A",2,"trait",0,TRUE
"estrogens","Plasminogen Activator Inhibitor 1",3,"trait",2,TRUE
"estrogens","Progesterone receptor",47,"shared",2,TRUE
"estrogens","Prolactin",14,"shared",5,TRUE
"estrogens","reproductive hormone",3,"trait",0,TRUE
"estrogens","SHBG",7,"trait",2,TRUE
"estrogens","Somatotropin",4,"shared",4,TRUE
"estrogens","Soy Proteins",2,"trait",2,TRUE
"estrogens","thrombin",3,"trait",0,TRUE
"estrogens","TNF",3,"trait",0,TRUE
"estrogens","TNFRSF11B",4,"trait",2,TRUE
"estrogens","TP53",12,"BC",0,TRUE
"estrogens","TUBB3",1,"trait",0,TRUE
"estrogens","Tumor Necrosis Factor-alpha",2,"trait",0,TRUE
"estrogens","Vasoactive Intestinal Peptide",1,"trait",0,TRUE
"estrogens","VDR",1,"trait",0,TRUE
"estrogens","VEGFA",7,"trait",2,TRUE
"estrogens","very low density lipoprotein triglyceride",2,"trait",0,TRUE
"estrogens","Vitamin D3 Receptor",1,"trait",0,TRUE
"Estrogens, Catechol","Estrogen Receptors",2,"BC",0,TRUE
"Estrogens, Conjugated (USP)","Medroxyprogesterone 17-Acetate",3,"trait",2,TRUE
"Estrone","estradiol",36,"shared",20,TRUE
"Estrone","Estriol",1,"trait",0,TRUE
"Estrone","estrogens",7,"shared",5,TRUE
"Estrone","SHBG",2,"trait",0,TRUE
"Estrone","testosterone",2,"BC",0,TRUE
"estrone sulfatase","estrogens",4,"shared",0,TRUE
"estrone sulfate","estradiol",14,"shared",0,TRUE
"estrone sulfate","estrogens",3,"trait",0,TRUE
"estrone sulfate","Estrone",6,"trait",3,TRUE
"estrophilin","Estrogen Receptors",1,"shared",0,TRUE
"Ethinyl Estradiol","ABCG2",1,"BC",0,TRUE
"Ethinyl Estradiol","Blood Coagulation Factor",1,"trait",0,TRUE
"Ethinyl Estradiol","estradiol valerate",2,"trait",0,TRUE
"Ethinyl Estradiol","estrogens",5,"trait",0,TRUE
"Ethinyl Estradiol","Norgestrel",1,"trait",0,TRUE
"Ferritin","Breast cancer",2,"BC",0,TRUE
"FGF2","CDKN1A",1,"BC",0,TRUE
"FGF2","HOXB7",1,"BC",0,TRUE
"FGF2","TFF1",1,"BC",0,TRUE
"FGF7","Estrogen Receptor alpha",3,"BC",0,TRUE
"Follicle Stimulating Hormone","Alkaline Phosphatase",2,"trait",0,TRUE
"Follicle Stimulating Hormone","GNRH1",7,"trait",0,TRUE
"Follicle Stimulating Hormone","gonadorelin",10,"trait",0,TRUE
"Follicle Stimulating Hormone","Gonadotropins",4,"trait",0,TRUE
"Follicle Stimulating Hormone","Luteinizing Hormone",8,"trait",4,TRUE
"FRAP1","ERBB2",3,"BC",0,TRUE
"Free estradiol","estradiol",2,"trait",0,TRUE
"Free estradiol","SHBG",2,"trait",0,TRUE
"Free testosterone","SHBG",5,"trait",0,TRUE
"Free testosterone","testosterone",2,"trait",0,TRUE
"FSHB","BRD2",1,"trait",0,TRUE
"FSHB","Follicle Stimulating Hormone",1,"trait",0,TRUE
"G-Protein-Coupled Receptors","Aldosterone",2,"trait",0,TRUE
"G-Protein-Coupled Receptors","estrogens",3,"shared",0,TRUE
"GALNT6","beta catenin",1,"shared",0,TRUE
"GALNT6","c-myc Genes",1,"shared",0,TRUE
"GALNT6","MYC",1,"shared",0,TRUE
"ghrelin","GHRH",1,"trait",0,TRUE
"ghrelin","Sermorelin",1,"trait",0,TRUE
"GHRH","IGF1",2,"BC",0,TRUE
"Globulins","Androgens",2,"trait",0,TRUE
"Globulins","estrogens",2,"trait",2,TRUE
"Glucocorticoids","Aromatase",4,"trait",0,TRUE
"Glucocorticoids","CYP19A1",2,"trait",0,TRUE
"Glucocorticoids","estrogens",4,"shared",0,TRUE
"Glucocorticoids","Leptin",2,"trait",0,TRUE
"Glucuronosyltransferase","estrogens",2,"BC",0,TRUE
"Glucuronosyltransferase","Gonadal Steroid Hormones",2,"trait",0,TRUE
"glutamyl-lysyl-alanyl-histidyl-aspartyl-glycyl-glycyl-arginine","salmon calcitonin",1,"trait",0,TRUE
"Glycoproteins","Membrane Transport Proteins",2,"BC",0,TRUE
"GNRH1","estrogens",4,"shared",2,TRUE
"GNRH1","Human Chorionic Gonadotropin",4,"trait",0,TRUE
"Gonadal Steroid Hormones","FGF2",2,"trait",0,TRUE
"Gonadal Steroid Hormones","homocysteine",2,"trait",0,TRUE
"Gonadal Steroid Hormones","HSD17B2",2,"trait",0,TRUE
"Gonadal Steroid Hormones","HSD17B7P2",2,"trait",0,TRUE
"Gonadal Steroid Hormones","Lipoproteins",4,"trait",2,TRUE
"Gonadal Steroid Hormones","Opioids",2,"trait",0,TRUE
"Gonadal Steroid Hormones","Somatomedins",2,"BC",0,TRUE
"Gonadal Steroid Hormones","testosterone",2,"trait",2,TRUE
"Gonadal Steroid Hormones","VEGFA",1,"BC",0,TRUE
"gonadorelin","Human Chorionic Gonadotropin",4,"trait",0,TRUE
"gonadorelin","Pituitary Gonadotropins",3,"trait",1,TRUE
"Gonadotropin releasing hormone antagonist","Gonadotropins",3,"shared",0,TRUE
"Gonadotropins","CAMP",1,"trait",0,TRUE
