id.exposure	id.outcome	exposure	outcome	method	nsnp	egger_intercept	egger_intercept_se	egger_intercept_pval	Q	Q_df	Q_pval	exposure_name	exposure_cat
ieu-a-1034	ieu-a-1126	Height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	4	0.2931863772569295	0.2747835631176409	0.3977221933387066	23.88547950955482	2	6.506299121108908e-6	Height (M/F) Cousminer/2013 [ 13K]	Antrophometric
ieu-a-51	ieu-a-1126	Hip circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	16	0.02697685451628981	0.011000418433222194	0.027917416775278873	67.38128703181768	15	1.3019862594467221e-8	Hip circumference (F) Shungin D/2015 [127K]	Antrophometric
ieu-a-51	ieu-a-1126	Hip circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	16	0.02697685451628981	0.011000418433222194	0.027917416775278873	47.13388156634689	14	1.827068249661389e-5	Hip circumference (F) Shungin D/2015 [127K]	Antrophometric
ukb-a-388	ieu-a-1126	Hip circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	261	0.0058806753842391615	0.002578815930854001	0.023398215481848044	1013.4053674628938	260	1.9295117243347047e-89	Hip circumference (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-a-388	ieu-a-1126	Hip circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	261	0.0058806753842391615	0.002578815930854001	0.023398215481848044	993.4589957853075	259	1.6334002463504042e-86	Hip circumference (M/F) Neale Lab/2017 [336K]	Antrophometric
ieu-a-101	ieu-a-1126	Hip circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	5	-0.10775111113888165	0.09120718604396881	0.32257137262655666	39.565983072169125	4	5.3218668074261326e-8	Hip circumference (F) Randall JC/2013 [ 73K] AdjBMI	Antrophometric
ieu-a-101	ieu-a-1126	Hip circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	5	-0.10775111113888165	0.09120718604396881	0.32257137262655666	27.003327958704816	3	5.877905264528929e-6	Hip circumference (F) Randall JC/2013 [ 73K] AdjBMI	Antrophometric
ukb-a-269	ieu-a-1126	Impedance of whole body	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	333	-0.0035469623474313353	0.00227501031786886	0.11992893941755807	1364.1762954907706	332	5.524094535258912e-125	Impedance of whole body (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-a-269	ieu-a-1126	Impedance of whole body	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	333	-0.0035469623474313353	0.00227501031786886	0.11992893941755807	1354.231148187806	331	1.1798660603415331e-123	Impedance of whole body (M/F) Neale Lab/2017 [331K]	Antrophometric
ieu-a-90	ieu-a-1126	Obesity class 1	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	16	0.016095638302375218	0.012518505454026243	0.21939170953125706	102.68121258267615	15	4.039946260743461e-15	Obesity class 1 (M/F) Berndt SI/2013 [ 98K]	Antrophometric
ieu-a-90	ieu-a-1126	Obesity class 1	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	16	0.016095638302375218	0.012518505454026243	0.21939170953125706	91.83693138157007	14	1.704993980716442e-13	Obesity class 1 (M/F) Berndt SI/2013 [ 98K]	Antrophometric
ieu-a-91	ieu-a-1126	Obesity class 2	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	10	0.02333934794470408	0.01349304663005001	0.12193157672670409	42.30098393968041	9	2.895266485547289e-6	Obesity class 2 (M/F) Berndt SI/2013 [ 72K]	Antrophometric
ieu-a-91	ieu-a-1126	Obesity class 2	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	10	0.02333934794470408	0.01349304663005001	0.12193157672670409	30.786823251329075	8	1.533201290836637e-4	Obesity class 2 (M/F) Berndt SI/2013 [ 72K]	Antrophometric
ieu-a-93	ieu-a-1126	Overweight	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	14	0.024419119460700422	0.015090496759784274	0.13159069620957334	79.4628994340386	13	1.3920992557219245e-11	Overweight (M/F) Berndt SI/2013 [158K]	Antrophometric
ieu-a-93	ieu-a-1126	Overweight	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	14	0.024419119460700422	0.015090496759784274	0.13159069620957334	65.22930918996042	12	2.4726708723251777e-9	Overweight (M/F) Berndt SI/2013 [158K]	Antrophometric
ukb-b-16881	ieu-a-1126	Sitting height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	550	-9.8263387866223e-4	0.001368504833101954	0.47304192115016763	1821.4534844142195	549	4.762737539311181e-136	Sitting height (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-b-16881	ieu-a-1126	Sitting height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	550	-9.8263387866223e-4	0.001368504833101954	0.47304192115016763	1819.7414207198967	548	4.7528029286002635e-136	Sitting height (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-a-195	ieu-a-1126	Sitting height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	406	-2.4096204430159836e-4	0.0018239791909467479	0.8949647225538175	1495.2517437344684	405	1.3842300146150953e-124	Sitting height (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-a-195	ieu-a-1126	Sitting height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	406	-2.4096204430159836e-4	0.0018239791909467479	0.8949647225538175	1495.187152778678	404	7.355946378830543e-125	Sitting height (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-b-10787	ieu-a-1126	Standing height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	710	-0.0011968638637656303	0.0010290738233120979	0.2452012359906737	2175.680762491166	709	1.4033056863618333e-148	Standing height (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-b-10787	ieu-a-1126	Standing height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	710	-0.0011968638637656303	0.0010290738233120979	0.2452012359906737	2171.531896546204	708	3.247974900836979e-148	Standing height (M/F) MRC-IEU/2018 [461K]	Antrophometric
ieu-a-68	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	24	0.016779394142308245	0.010754445709536913	0.132976617950408	102.1043589514326	23	6.086049602042404e-12	Waist circumference (F) Shungin D/2015 [134K] AdjBMI	Antrophometric
ieu-a-68	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	24	0.016779394142308245	0.010754445709536913	0.132976617950408	91.93202448345598	22	1.6041017278354703e-10	Waist circumference (F) Shungin D/2015 [134K] AdjBMI	Antrophometric
ukb-b-9405	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	344	0.00629905750467817	0.0018615059140649787	7.977230517880171e-4	1011.326053538487	343	4.0055488231231905e-67	Waist circumference (M/F) MRC-IEU/2018 [462K]	Antrophometric
ukb-b-9405	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	344	0.00629905750467817	0.0018615059140649787	7.977230517880171e-4	978.5629548321743	342	1.1392846982647745e-62	Waist circumference (M/F) MRC-IEU/2018 [462K]	Antrophometric
ieu-a-62	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	17	0.02272943021679632	0.010550075193970198	0.04787081886534515	62.70234280916967	16	1.8230556039798008e-7	Waist circumference (F) Shungin D/2015 [134K]	Antrophometric
ieu-a-62	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	17	0.02272943021679632	0.010550075193970198	0.04787081886534515	47.88489859499879	15	2.654054515108431e-5	Waist circumference (F) Shungin D/2015 [134K]	Antrophometric
ieu-a-105	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	5	0.011831861321589705	0.02882421358414097	0.7090079330737165	12.751788753017905	4	0.012554486211297497	Waist circumference (F) Randall JC/2013 [ 73K] AdjBMI	Antrophometric
ieu-a-105	ieu-a-1126	Waist circumference	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	5	0.011831861321589705	0.02882421358414097	0.7090079330737165	12.07366482690659	3	0.0071350291216049876	Waist circumference (F) Randall JC/2013 [ 73K] AdjBMI	Antrophometric
ieu-a-75	ieu-a-1126	Waist-to-hip ratio	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	20	0.005361003973297504	0.022215136672957856	0.8120330849589961	141.14264740537317	19	1.1035806124491238e-20	Waist-to-hip ratio (F) Shungin D/2015 [118K]	Antrophometric
ieu-a-75	ieu-a-1126	Waist-to-hip ratio	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	20	0.005361003973297504	0.022215136672957856	0.8120330849589961	140.68747365855313	18	4.720156370061051e-21	Waist-to-hip ratio (F) Shungin D/2015 [118K]	Antrophometric
ieu-a-109	ieu-a-1126	Waist-to-hip ratio	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	4	0.19407204320131416	0.11101224340690091	0.22253787070743905	15.170083799819789	3	0.0016769207920961414	Waist-to-hip ratio (F) Randall JC/2013 [ 73K]	Antrophometric
ieu-a-109	ieu-a-1126	Waist-to-hip ratio	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	4	0.19407204320131416	0.11101224340690091	0.22253787070743905	6.000566658355603	2	0.0497729642368684	Waist-to-hip ratio (F) Randall JC/2013 [ 73K]	Antrophometric
ukb-a-266	ieu-a-1126	Whole body fat-free mass	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	375	0.002299391612986501	0.0018385660838747203	0.2118483443329868	1311.009755303861	374	2.8898015625324416e-104	Whole body fat-free mass (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-a-266	ieu-a-1126	Whole body fat-free mass	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	375	0.002299391612986501	0.0018385660838747203	0.2118483443329868	1305.5352212932416	373	1.095338022712886e-103	Whole body fat-free mass (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-b-2346	ieu-a-1126	Duration of moderate activity	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	6	0.013146100013755765	0.0242798408395029	0.6169509414037395	16.4287741155929	5	0.005720783584267417	Duration of moderate activity (M/F) MRC-IEU/2018 [343K]	Physical activity
ukb-b-2346	ieu-a-1126	Duration of moderate activity	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	6	0.013146100013755765	0.0242798408395029	0.6169509414037395	15.30693533444705	4	0.004105172396579081	Duration of moderate activity (M/F) MRC-IEU/2018 [343K]	Physical activity
ukb-a-508	ieu-a-1126	Number of days/week of moderate physical activity 10+ minutes	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	7	-0.028680542321566704	0.03913572112195138	0.4965472062181603	23.71020227856798	6	5.90386096512589e-4	Days/week of moderate physical activity 10+ minutes (M/F) Neale Lab/2017 [321K]	Physical activity
ukb-a-508	ieu-a-1126	Number of days/week of moderate physical activity 10+ minutes	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	7	-0.028680542321566704	0.03913572112195138	0.4965472062181603	21.410436753420868	5	6.774436269465741e-4	Days/week of moderate physical activity 10+ minutes (M/F) Neale Lab/2017 [321K]	Physical activity
ukb-b-969	ieu-a-1126	Time spend outdoors in summer	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	44	-0.017279957687177737	0.008838488662140303	0.05724982273536598	97.33254653736614	43	4.320713568847406e-6	Time spend outdoors in summer (M/F) MRC-IEU/2018 [419K]	Physical activity
ukb-b-969	ieu-a-1126	Time spend outdoors in summer	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	44	-0.017279957687177737	0.008838488662140303	0.05724982273536598	89.21340425060531	42	2.987390756265244e-5	Time spend outdoors in summer (M/F) MRC-IEU/2018 [419K]	Physical activity
ukb-b-8865	ieu-a-1126	Time spent doing light physical activity	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	3	-0.005162882674498645	0.03326909458040947	0.9019876178633466	0.39142301053276857	2	0.8222494150898638	Time spent doing light physical activity (M/F) MRC-IEU/2018 [ 64K]	Physical activity
ukb-b-8865	ieu-a-1126	Time spent doing light physical activity	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	3	-0.005162882674498645	0.03326909458040947	0.9019876178633466	0.3673404562193538	1	0.5444575282887191	Time spent doing light physical activity (M/F) MRC-IEU/2018 [ 64K]	Physical activity
ukb-a-487	ieu-a-1126	Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding  lawn mowing  carpentry  digging)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	3	0.01502147385099878	0.10736672715565933	0.9115061603322547	2.6213801862809842	2	0.2696339196478382	Physical activity: Heavy DIY  (M/F) Neale Lab/2017 [335K]	Physical activity
ukb-a-487	ieu-a-1126	Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding  lawn mowing  carpentry  digging)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	3	0.01502147385099878	0.10736672715565933	0.9115061603322547	2.5710536772028942	1	0.10883521755590894	Physical activity: Heavy DIY  (M/F) Neale Lab/2017 [335K]	Physical activity
ukb-b-7663	ieu-a-1126	Types of physical activity in last 4 weeks: Strenuous sports	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	6	0.02234080440765923	0.022803154424707744	0.3826943162037613	12.505915791534184	5	0.028476082694096762	Physical activity: Strenuous sports (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-7663	ieu-a-1126	Types of physical activity in last 4 weeks: Strenuous sports	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	6	0.02234080440765923	0.022803154424707744	0.3826943162037613	10.085701257110612	4	0.03900853660193039	Physical activity: Strenuous sports (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-a-482	ieu-a-1126	Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	6	0.22536514662136173	0.1351648158181653	0.1707744900095236	17.747008320494537	5	0.0032807709207948476	Physical activity: Walking for pleasure  (M/F) Neale Lab/2017 [335K]	Physical activity
ukb-a-482	ieu-a-1126	Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	6	0.22536514662136173	0.1351648158181653	0.1707744900095236	10.470197617000228	4	0.03320999540020153	Physical activity: Walking for pleasure  (M/F) Neale Lab/2017 [335K]	Physical activity
ukb-b-16886	ieu-a-1126	Types of transport used (excluding work): Car/motor vehicle	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	5	0.0522061255696797	0.05425418832684962	0.4069078873173573	17.694348822252177	4	0.0014159000690448465	Types of transport used : Car/motor vehicle (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-16886	ieu-a-1126	Types of transport used (excluding work): Car/motor vehicle	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	5	0.0522061255696797	0.05425418832684962	0.4069078873173573	13.521152305528961	3	0.0036350056131441736	Types of transport used : Car/motor vehicle (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-17557	ieu-a-1126	Types of transport used (excluding work): Cycle	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	8	0.016685377573840535	0.01892118812593245	0.4117963431259592	11.754694133114958	7	0.10891998314699367	Types of transport used : Cycle (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-17557	ieu-a-1126	Types of transport used (excluding work): Cycle	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	8	0.016685377573840535	0.01892118812593245	0.4117963431259592	10.406015469810084	6	0.1085625291282557	Types of transport used : Cycle (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-15957	ieu-a-1126	Types of transport used (excluding work): Public transport	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	9	-0.0049778556861929555	0.01937754911282829	0.8046523981848231	20.979519625385787	8	0.007202033269292214	Types of transport used : Public transport (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-15957	ieu-a-1126	Types of transport used (excluding work): Public transport	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	9	-0.0049778556861929555	0.01937754911282829	0.8046523981848231	20.78358583042763	7	0.004104011538601315	Types of transport used : Public transport (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-14926	ieu-a-1126	Types of transport used (excluding work): Walk	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	7	0.08951642081215297	0.057282095666263445	0.1788775604779571	23.55947491309949	6	6.29201747486893e-4	Types of transport used : Walk (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-14926	ieu-a-1126	Types of transport used (excluding work): Walk	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	7	0.08951642081215297	0.057282095666263445	0.1788775604779571	15.82846275543014	5	0.0073512734123638325	Types of transport used : Walk (M/F) MRC-IEU/2018 [460K]	Physical activity
ukb-b-4711	ieu-a-1126	Usual walking pace	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	53	-4.849110605469014e-4	0.008996770081036548	0.9572267331291955	246.84265208080876	52	3.891505017632883e-27	Usual walking pace (M/F) MRC-IEU/2018 [459K]	Physical activity
ukb-b-4711	ieu-a-1126	Usual walking pace	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	53	-4.849110605469014e-4	0.008996770081036548	0.9572267331291955	246.82859237520546	51	1.76136103704498e-27	Usual walking pace (M/F) MRC-IEU/2018 [459K]	Physical activity
ukb-b-1004	ieu-a-1126	Added milk to espresso	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	3	-0.0923559077991458	0.05016048554995036	0.3167482146241619	3.420669014087975	2	0.18080530185333263	Added milk to espresso (M/F) MRC-IEU/2018 [ 64K]	Diet and supplements
ukb-b-1004	ieu-a-1126	Added milk to espresso	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	3	-0.0923559077991458	0.05016048554995036	0.3167482146241619	0.03062060834462179	1	0.861089493341002	Added milk to espresso (M/F) MRC-IEU/2018 [ 64K]	Diet and supplements
ukb-d-1468_5	ieu-a-1126	Cereal type: Other (e.g. Cornflakes, Frosties)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	10	0.047736972133546156	0.0404555028325289	0.2719008151552172	107.3068385735229	9	5.191344822200508e-19	Cereal type: Other (e.g. Cornflakes, Frosties) (M/F) Neale lab/2018 [299K]	Diet and supplements
ukb-d-1468_5	ieu-a-1126	Cereal type: Other (e.g. Cornflakes, Frosties)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	10	0.047736972133546156	0.0404555028325289	0.2719008151552172	91.399161829987	8	2.4172268438427707e-16	Cereal type: Other (e.g. Cornflakes, Frosties) (M/F) Neale lab/2018 [299K]	Diet and supplements
ukb-b-2221	ieu-a-1126	Cherry intake	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	3	-0.07879409977421217	0.06914585221154781	0.4585400769448947	3.475041950079238	2	0.17595605985312845	Cherry intake (M/F) MRC-IEU/2018 [ 64K]	Diet and supplements
ukb-b-2221	ieu-a-1126	Cherry intake	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	3	-0.07879409977421217	0.06914585221154781	0.4585400769448947	1.5118478985071884	1	0.21885732985736414	Cherry intake (M/F) MRC-IEU/2018 [ 64K]	Diet and supplements
ukb-b-4955	ieu-a-1126	Dairy smoothie intake	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	3	-0.012086112481355821	0.06843685808668944	0.8887188547695599	0.6391513843633593	2	0.7264572131635256	Dairy smoothie intake (M/F) MRC-IEU/2018 [ 64K]	Diet and supplements
ukb-b-4955	ieu-a-1126	Dairy smoothie intake	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	3	-0.012086112481355821	0.06843685808668944	0.8887188547695599	0.607962981349432	1	0.4355558161307816	Dairy smoothie intake (M/F) MRC-IEU/2018 [ 64K]	Diet and supplements
ukb-b-16576	ieu-a-1126	Dried fruit intake	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	40	0.0010673088469119304	0.008476346668627316	0.9004621630286249	108.01345184415113	39	2.132457739653587e-8	Dried fruit intake (M/F) MRC-IEU/2018 [421K]	Diet and supplements
ukb-b-16576	ieu-a-1126	Dried fruit intake	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	40	0.0010673088469119304	0.008476346668627316	0.9004621630286249	107.96840380599537	38	1.2589588314979306e-8	Dried fruit intake (M/F) MRC-IEU/2018 [421K]	Diet and supplements
ukb-b-3881	ieu-a-1126	Fresh fruit intake	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	53	0.0053216803209208295	0.005347399045483454	0.3243421615971629	136.55993762033177	52	1.6057996012577445e-9	Fresh fruit intake (M/F) MRC-IEU/2018 [446K]	Diet and supplements
