exposure_cat	label	id.exposure	exposure_name	ieu-a-1126	ieu-a-1127	ieu-a-1128	Breast cancer (overall BCAC 2020)	Basal-like TNBC: ER-PR-HER-	BRCA1_CIMBA TNBC: ER-PR-HER-	HER2-enriched: ER-PR-HER+	Luminal A: ER+PR+HER-	Luminal B2: ER+PR+HER+	Luminal B1: ER+PR+HER-
Proteins	(prot-a-305) Complement C1q tumor necrosis factor-related protein 5 (M/F) Sun BB/2018 [  3K]	prot-a-305	Complement C1q tumor necrosis factor-related protein 5 (M/F) Sun BB/2018 [  3K]	-1	-1	0	0	0	0	0	0	-1	0
Proteins	(prot-a-518) Complement factor B (M/F) Sun BB/2018 [  3K]	prot-a-518	Complement factor B (M/F) Sun BB/2018 [  3K]	1	0	0	0	0	0	0	0	0	0
Proteins	(prot-a-2629) Diamine acetyltransferase 2 (M/F) Sun BB/2018 [  3K]	prot-a-2629	Diamine acetyltransferase 2 (M/F) Sun BB/2018 [  3K]	-1	-1	-1	-1	0	0	0	0	0	0
Proteins	(prot-a-766) Discoidin, CUB and LCCL domain-containing protein 2 (M/F) Sun BB/2018 [  3K]	prot-a-766	Discoidin, CUB and LCCL domain-containing protein 2 (M/F) Sun BB/2018 [  3K]	-1	-1	-1	-1	-1	0	0	0	0	0
Proteins	(prot-a-2891) Extracellular sulfatase Sulf-2 (M/F) Sun BB/2018 [  3K]	prot-a-2891	Extracellular sulfatase Sulf-2 (M/F) Sun BB/2018 [  3K]	-1	0	0	-1	0	0	0	0	0	0
Proteins	(prot-a-1576) Immunoglobulin superfamily containing leucine-rich repeat protein 2 (M/F) Sun BB/2018 [  3K]	prot-a-1576	Immunoglobulin superfamily containing leucine-rich repeat protein 2 (M/F) Sun BB/2018 [  3K]	-1	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-1506) Interleukin-21 (M/F) Sun BB/2018 [  3K]	prot-a-1506	Interleukin-21 (M/F) Sun BB/2018 [  3K]	1	1	0	1	0	0	0	1	0	0
Proteins	(prot-a-1530) Interleukin-3 receptor subunit alpha (M/F) Sun BB/2018 [  3K]	prot-a-1530	Interleukin-3 receptor subunit alpha (M/F) Sun BB/2018 [  3K]	-1	-1	-1	0	0	-1	0	0	0	0
Proteins	(prot-a-1644) Killer cell immunoglobulin-like receptor 2DL5A (M/F) Sun BB/2018 [  3K]	prot-a-1644	Killer cell immunoglobulin-like receptor 2DL5A (M/F) Sun BB/2018 [  3K]	1	0	0	0	0	0	0	0	0	0
Proteins	(prot-a-1898) MHC class I polypeptide-related sequence B (M/F) Sun BB/2018 [  3K]	prot-a-1898	MHC class I polypeptide-related sequence B (M/F) Sun BB/2018 [  3K]	1	1	0	0	0	0	0	0	0	0
Proteins	(prot-a-1833) Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (M/F) Sun BB/2018 [  3K]	prot-a-1833	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (M/F) Sun BB/2018 [  3K]	1	0	1	1	1	1	0	0	0	0
Proteins	(prot-a-2398) PH and SEC7 domain-containing protein 1 (M/F) Sun BB/2018 [  3K]	prot-a-2398	PH and SEC7 domain-containing protein 1 (M/F) Sun BB/2018 [  3K]	-1	0	0	0	0	0	0	0	0	0
Proteins	(prot-a-648) Probable carboxypeptidase X1 (M/F) Sun BB/2018 [  3K]	prot-a-648	Probable carboxypeptidase X1 (M/F) Sun BB/2018 [  3K]	1	0	0	1	0	0	0	0	0	1
Proteins	(prot-a-2616) Protein S100-A13 (M/F) Sun BB/2018 [  3K]	prot-a-2616	Protein S100-A13 (M/F) Sun BB/2018 [  3K]	1	0	0	0	0	0	0	0	0	0
Proteins	(prot-a-149) Rho GTPase-activating protein 30 (M/F) Sun BB/2018 [  3K]	prot-a-149	Rho GTPase-activating protein 30 (M/F) Sun BB/2018 [  3K]	-1	-1	0	-1	0	0	0	0	0	-1
Proteins	(prot-a-2877) Serine/threonine-protein kinase 16 (M/F) Sun BB/2018 [  3K]	prot-a-2877	Serine/threonine-protein kinase 16 (M/F) Sun BB/2018 [  3K]	-1	0	0	-1	0	0	0	-1	0	0
Proteins	(prot-a-3071) Tenascin-X (M/F) Sun BB/2018 [  3K]	prot-a-3071	Tenascin-X (M/F) Sun BB/2018 [  3K]	1	0	0	1	0	1	0	0	1	0
Proteins	(prot-a-2930) Tubulin-specific chaperone A (M/F) Sun BB/2018 [  3K]	prot-a-2930	Tubulin-specific chaperone A (M/F) Sun BB/2018 [  3K]	1	0	0	0	0	0	0	0	0	0
Proteins	(prot-a-2978) Tyrosine-protein kinase receptor Tie-1, soluble (M/F) Sun BB/2018 [  3K]	prot-a-2978	Tyrosine-protein kinase receptor Tie-1, soluble (M/F) Sun BB/2018 [  3K]	-1	-1	0	-1	0	0	0	0	0	0
Proteins	(prot-a-3243) Xyloside xylosyltransferase 1 (M/F) Sun BB/2018 [  3K]	prot-a-3243	Xyloside xylosyltransferase 1 (M/F) Sun BB/2018 [  3K]	1	1	0	1	0	0	0	1	0	1
Other biomarkers	(ukb-d-30770_irnt) IGF-1 (M/F) Neale lab/2018 [  NA K]	ukb-d-30770_irnt	IGF-1 (M/F) Neale lab/2018 [  NA K]	1	1	0	0	1	0	0	0	0	0
Metabolites	(met-c-841) Albumin (M/F) Kettunen/2016 [ 18K]	met-c-841	Albumin (M/F) Kettunen/2016 [ 18K]	0	1	0	1	0	0	0	0	0	0
Metabolites	(met-a-652) Isovalerylcarnitine (M/F) Shin/2014 [  7K]	met-a-652	Isovalerylcarnitine (M/F) Shin/2014 [  7K]	0	-1	0	-1	0	0	0	0	0	-1
Metabolites	(met-a-485) X-02269 (M/F) Shin/2014 [  7K]	met-a-485	X-02269 (M/F) Shin/2014 [  7K]	0	1	0	1	0	0	0	1	0	0
Metabolites	(met-a-513) X-11440 (M/F) Shin/2014 [  7K]	met-a-513	X-11440 (M/F) Shin/2014 [  7K]	0	-1	0	-1	0	0	0	0	0	-1
Metabolites	(met-a-513) X-11440 (M/F) Shin/2014 [  7K]	met-a-513	X-11440 (M/F) Shin/2014 [  7K]	0	-1	0	0	0	0	1	0	0	0
Metabolites	(met-a-519) X-11469 (M/F) Shin/2014 [  7K]	met-a-519	X-11469 (M/F) Shin/2014 [  7K]	0	1	0	1	0	0	0	1	0	0
Proteins	(prot-a-670) C-reactive protein (M/F) Sun BB/2018 [  3K]	prot-a-670	C-reactive protein (M/F) Sun BB/2018 [  3K]	0	1	0	0	0	0	0	0	0	0
Proteins	(prot-a-586) Dual specificity protein kinase CLK2 (M/F) Sun BB/2018 [  3K]	prot-a-586	Dual specificity protein kinase CLK2 (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-2573) E3 ubiquitin-protein ligase RNF8 (M/F) Sun BB/2018 [  3K]	prot-a-2573	E3 ubiquitin-protein ligase RNF8 (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-1117) Filamin-A (M/F) Sun BB/2018 [  3K]	prot-a-1117	Filamin-A (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	-1	0	-1
Proteins	(prot-a-2904) Histone-lysine N-methyltransferase SUV420H2 (M/F) Sun BB/2018 [  3K]	prot-a-2904	Histone-lysine N-methyltransferase SUV420H2 (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	-1	0	0
Proteins	(prot-a-1655) Kelch-like protein 13 (M/F) Sun BB/2018 [  3K]	prot-a-1655	Kelch-like protein 13 (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-1746) Leukocyte immunoglobulin-like receptor subfamily B member 4 (M/F) Sun BB/2018 [  3K]	prot-a-1746	Leukocyte immunoglobulin-like receptor subfamily B member 4 (M/F) Sun BB/2018 [  3K]	0	1	0	0	0	0	0	0	0	0
Proteins	(prot-a-1922) Multimerin-2 (M/F) Sun BB/2018 [  3K]	prot-a-1922	Multimerin-2 (M/F) Sun BB/2018 [  3K]	0	1	0	0	0	0	0	0	0	0
Proteins	(prot-a-2395) Myeloblastin (M/F) Sun BB/2018 [  3K]	prot-a-2395	Myeloblastin (M/F) Sun BB/2018 [  3K]	0	1	0	0	0	0	0	1	0	0
Proteins	(prot-a-2396) Myeloblastin (M/F) Sun BB/2018 [  3K]	prot-a-2396	Myeloblastin (M/F) Sun BB/2018 [  3K]	0	1	0	0	0	0	0	0	0	0
Proteins	(prot-a-2337) Neutrophil-activating peptide 2 (M/F) Sun BB/2018 [  3K]	prot-a-2337	Neutrophil-activating peptide 2 (M/F) Sun BB/2018 [  3K]	0	1	0	0	0	0	0	0	0	1
Proteins	(prot-a-2189) PAX-interacting protein 1 (M/F) Sun BB/2018 [  3K]	prot-a-2189	PAX-interacting protein 1 (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	-1	0	0
Proteins	(prot-a-2308) Plexin-B2 (M/F) Sun BB/2018 [  3K]	prot-a-2308	Plexin-B2 (M/F) Sun BB/2018 [  3K]	0	1	0	1	0	0	0	1	0	1
Proteins	(prot-a-2073) Pro-FMRFamide-related neuropeptide FF (M/F) Sun BB/2018 [  3K]	prot-a-2073	Pro-FMRFamide-related neuropeptide FF (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-3093) Protein-tyrosine sulfotransferase 2 (M/F) Sun BB/2018 [  3K]	prot-a-3093	Protein-tyrosine sulfotransferase 2 (M/F) Sun BB/2018 [  3K]	0	1	1	0	0	1	0	0	0	0
Proteins	(prot-a-3076) Torsin-1A-interacting protein 1 (M/F) Sun BB/2018 [  3K]	prot-a-3076	Torsin-1A-interacting protein 1 (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-1622) Vascular endothelial growth factor receptor 2 (M/F) Sun BB/2018 [  3K]	prot-a-1622	Vascular endothelial growth factor receptor 2 (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-2575) rRNA methyltransferase 3, mitochondrial (M/F) Sun BB/2018 [  3K]	prot-a-2575	rRNA methyltransferase 3, mitochondrial (M/F) Sun BB/2018 [  3K]	0	-1	0	0	0	0	0	0	0	0
Other biomarkers	(ukb-d-30630_irnt) Apoliprotein A (M/F) Neale lab/2018 [  NA K]	ukb-d-30630_irnt	Apoliprotein A (M/F) Neale lab/2018 [  NA K]	0	1	0	1	1	1	0	1	0	0
Metabolites	(met-a-558) 1-arachidonoylglycerophosphocholine* (M/F) Shin/2014 [  7K]	met-a-558	1-arachidonoylglycerophosphocholine* (M/F) Shin/2014 [  7K]	0	0	1	0	0	0	0	0	0	0
Metabolites	(met-a-682) 1-arachidonoylglycerophosphoethanolamine* (M/F) Shin/2014 [  7K]	met-a-682	1-arachidonoylglycerophosphoethanolamine* (M/F) Shin/2014 [  7K]	0	0	1	0	0	0	0	0	0	0
Metabolites	(met-c-851) Average number of double bonds in a fatty acid chain (M/F) Kettunen/2016 [ 15K]	met-c-851	Average number of double bonds in a fatty acid chain (M/F) Kettunen/2016 [ 15K]	0	0	1	0	0	0	0	0	1	0
Metabolites	(met-a-362) Betaine (M/F) Shin/2014 [  7K]	met-a-362	Betaine (M/F) Shin/2014 [  7K]	0	0	-1	0	-1	-1	0	0	0	0
Metabolites	(met-c-844) Ratio of bisallylic groups to double bonds (M/F) Kettunen/2016 [ 13K]	met-c-844	Ratio of bisallylic groups to double bonds (M/F) Kettunen/2016 [ 13K]	0	0	1	0	0	0	0	0	0	0
Metabolites	(met-c-845) Ratio of bisallylic groups to total fatty acids (M/F) Kettunen/2016 [ 13K]	met-c-845	Ratio of bisallylic groups to total fatty acids (M/F) Kettunen/2016 [ 13K]	0	0	1	0	0	0	0	0	0	0
Metabolites	(met-a-495) X-11315 (M/F) Shin/2014 [  7K]	met-a-495	X-11315 (M/F) Shin/2014 [  7K]	0	0	-1	0	0	0	0	-1	0	0
Proteins	(prot-a-54) Advanced glycosylation end product-specific receptor, soluble (M/F) Sun BB/2018 [  3K]	prot-a-54	Advanced glycosylation end product-specific receptor, soluble (M/F) Sun BB/2018 [  3K]	0	0	-1	0	-1	-1	0	0	0	0
Proteins	(prot-a-1148) Ferritin (M/F) Sun BB/2018 [  3K]	prot-a-1148	Ferritin (M/F) Sun BB/2018 [  3K]	0	0	1	0	0	0	0	0	0	0
Proteins	(prot-a-1097) Fibroblast growth factor 7 (M/F) Sun BB/2018 [  3K]	prot-a-1097	Fibroblast growth factor 7 (M/F) Sun BB/2018 [  3K]	0	0	1	0	0	0	0	0	0	0
Proteins	(prot-a-1779) Low-density lipoprotein receptor-related protein 1B (M/F) Sun BB/2018 [  3K]	prot-a-1779	Low-density lipoprotein receptor-related protein 1B (M/F) Sun BB/2018 [  3K]	0	0	-1	0	0	0	0	0	0	0
Proteins	(prot-a-2357) PR domain zinc finger protein 1 (M/F) Sun BB/2018 [  3K]	prot-a-2357	PR domain zinc finger protein 1 (M/F) Sun BB/2018 [  3K]	0	0	1	0	0	1	0	0	0	0
Proteins	(prot-a-3123) Thioredoxin domain-containing protein 12 (M/F) Sun BB/2018 [  3K]	prot-a-3123	Thioredoxin domain-containing protein 12 (M/F) Sun BB/2018 [  3K]	0	0	-1	0	0	0	-1	0	0	0
Proteins	(prot-a-3193) Vascular cell adhesion protein 1 (M/F) Sun BB/2018 [  3K]	prot-a-3193	Vascular cell adhesion protein 1 (M/F) Sun BB/2018 [  3K]	0	0	1	0	0	0	0	0	0	0
Proteins	(prot-b-38) interleukin 1 receptor like 1 (M/F) Folkersen L/2018 [  3K]	prot-b-38	interleukin 1 receptor like 1 (M/F) Folkersen L/2018 [  3K]	0	0	-1	0	-1	-1	0	0	0	0
Other biomarkers	(ieu-a-1047) Putamen volume (M/F) Hibar/2015 [ 30K]	ieu-a-1047	Putamen volume (M/F) Hibar/2015 [ 30K]	0	0	1	1	0	1	0	0	0	0
Other biomarkers	(ukb-d-30240_irnt) Reticulocyte percentage (M/F) Neale lab/2018 [344K]	ukb-d-30240_irnt	Reticulocyte percentage (M/F) Neale lab/2018 [344K]	0	0	-1	0	-1	-1	0	-1	0	0
