exposure.id	exposure.trait	exposure.sample_size	exposure.sex	exposure.note	exposure.population	year	author	consortium	outcome.id	outcome.sample_size	N_case	outcome.year	outcome.nsnp	mr.pval	mr.b	mr.se	mr.nsnp	mr.method	mr.moescore
ukb-b-18290	Age hayfever or allergic rhinitis diagnosed by doctor	25486.0	Males and Females	22146: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	1.13922854444954e-4	0.24301235588796202	0.0629753668493147	3	FE IVW	1
ukb-b-18290	Age hayfever or allergic rhinitis diagnosed by doctor	25486.0	Males and Females	22146: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	0.242471122268471	0.110283533343799	0.0943535819548443	3	FE IVW	1
ukb-b-4564	Age last used hormone-replacement therapy (HRT)	72982.0	Males and Females	3546: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	0.320944495385311	0.11425823782453802	0.11511946536063901	3	FE IVW	1
ukb-b-4564	Age last used hormone-replacement therapy (HRT)	72982.0	Males and Females	3546: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	0.0019438539347933301	0.37108806341757	0.11975685217649301	4	FE IVW	1
ukb-b-4564	Age last used hormone-replacement therapy (HRT)	72982.0	Males and Females	3546: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0213399257965195	0.413452089759993	0.179612175652725	4	FE IVW	1
ukb-d-30620_raw	Alanine aminotransferase	NA	Males and Females	NA	European	2018	Neale lab	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.9958790903629879	1.62328150668611e-5	0.0031360143297200697	114	Simple mean	0.83
ukb-d-30620_raw	Alanine aminotransferase	NA	Males and Females	NA	European	2018	Neale lab	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.9557370005243621	-5.15670351999966e-4	0.00926992136323013	114	RE Egger	0.8
ukb-d-30620_raw	Alanine aminotransferase	NA	Males and Females	NA	European	2018	Neale lab	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	7.709768267314679e-4	0.0154307761790239	0.00446376078249572	114	Simple mean	0.82
met-c-841	Albumin	18960.0	Males and Females	Alb	European	2016	Kettunen	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.085310531789557	0.10413396448573402	0.0605193911026567	3	FE IVW	1
met-c-841	Albumin	18960.0	Males and Females	Alb	European	2016	Kettunen	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	2.9503133728608796e-4	0.191184762856345	0.0528189556947744	3	FE IVW	1
met-c-841	Albumin	18960.0	Males and Females	Alb	European	2016	Kettunen	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0625489492241551	0.209918084616782	0.11271470209931599	3	FE IVW	1
prot-a-67	Alcohol dehydrogenase [NADP(+)]	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	1.26743861845712e-4	-0.030588350654264	0.00798088581284154	3	FE IVW	1
prot-a-67	Alcohol dehydrogenase [NADP(+)]	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	6.50062185202637e-4	-0.0309634499456691	0.00908067497084808	3	FE IVW	1
prot-a-67	Alcohol dehydrogenase [NADP(+)]	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.212387281209189	-0.0157023244503923	0.0125917992010085	3	FE IVW	1
ukb-d-30610_raw	Alkaline phosphatase	NA	Males and Females	NA	European	2018	Neale lab	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.889998840735488	3.20254117096588e-4	0.0023122032162618197	177	Simple mode	0.76
ukb-d-30610_raw	Alkaline phosphatase	NA	Males and Females	NA	European	2018	Neale lab	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.00152143212172741	-0.0038173433294792602	0.0011852260349208901	178	Weighted mode	0.76
ukb-d-30610_raw	Alkaline phosphatase	NA	Males and Females	NA	European	2018	Neale lab	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.5705089720963791	-0.00118210577452557	0.0020802023701074	196	Weighted mode	0.74
prot-a-1154	Alpha-(1,6)-fucosyltransferase	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.36177394392181894	-0.00564338150906227	0.0061879856845602705	3	FE IVW	1
prot-a-1154	Alpha-(1,6)-fucosyltransferase	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.347608125883512	-0.00786759387949623	0.0083765634991305	3	FE IVW	1
prot-a-1154	Alpha-(1,6)-fucosyltransferase	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0019529359027763199	0.0227418297464139	0.0073424744337349905	3	FE IVW	1
prot-a-1411	Alpha-L-iduronidase	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	4.1208267866200697e-25	0.0226895977755548	0.0021919190575057	2	FE IVW	1
prot-a-1411	Alpha-L-iduronidase	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	9.984923943040009e-11	0.0190021513905791	0.00293824415676379	2	FE IVW	1
prot-a-1411	Alpha-L-iduronidase	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.7859484363066751	0.00530774903066864	0.0195442848907125	2	FE IVW	1
ukb-a-284	Arm fat-free mass (right)	331221.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1126	228951.0	122977	2017.0	10680257	0.48934365479843295	0.139816324510249	0.20200154142127	320	Simple mode	0.69
ukb-a-284	Arm fat-free mass (right)	331221.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1127	175475.0	69501	2017.0	10680257	0.0546534722365344	-0.4145993338757589	0.21475065325925302	253	Simple mode	0.82
ukb-a-284	Arm fat-free mass (right)	331221.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1128	127442.0	21468	2017.0	10680257	8.7719026151652e-4	-0.7362940879970521	0.21919645391937195	320	RE Egger	0.65
ukb-a-289	Arm predicted mass (left)	331146.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1126	228951.0	122977	2017.0	10680257	0.688781236332421	0.0670606880993412	0.16723353637606	238	Simple mode	0.74
ukb-a-289	Arm predicted mass (left)	331146.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1127	175475.0	69501	2017.0	10680257	0.39374238787474103	-0.177637731163314	0.207934435858254	256	Simple mode	0.78
ukb-a-289	Arm predicted mass (left)	331146.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1128	127442.0	21468	2017.0	10680257	1.83486056767172e-4	-0.7889988067379029	0.20846888644649497	324	RE Egger	0.66
ukb-b-20214	Attendance/disability/mobility allowance: Disability living allowance	459354.0	Males and Females	6146#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	0.219610827455233	1.02742513655528	0.8369628456848991	6	FE IVW	0.71
ukb-b-20214	Attendance/disability/mobility allowance: Disability living allowance	459354.0	Males and Females	6146#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	0.569409901259025	0.9083027003999751	1.59653633533785	8	Simple median	0.74
ukb-b-20214	Attendance/disability/mobility allowance: Disability living allowance	459354.0	Males and Females	6146#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	0.00339172354703101	5.08355890959698	1.7351172050581003	8	FE IVW	0.65
ukb-a-30	Average weekly fortified wine intake	241381.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1126	228951.0	122977	2017.0	10680257	1.37101977251817e-5	0.8862141992673319	0.20379993884267603	2	FE IVW	1
ukb-a-30	Average weekly fortified wine intake	241381.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1127	175475.0	69501	2017.0	10680257	0.383998082885295	0.6945489561910501	0.7978246987604091	2	FE IVW	1
ukb-a-30	Average weekly fortified wine intake	241381.0	Males and Females	NA	European	2017	Neale	Neale Lab	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0151432836022613	0.632148620969313	0.260257622899905	2	FE IVW	1
ukb-b-1707	Average weekly spirits intake	326565.0	Males and Females	1598: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	0.6249538213007471	0.166577263315569	0.34075915893743397	2	FE IVW	1
ukb-b-1707	Average weekly spirits intake	326565.0	Males and Females	1598: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	1.3133420145102199e-22	0.6030897775690799	0.0616377066182511	2	FE IVW	1
ukb-b-1707	Average weekly spirits intake	326565.0	Males and Females	1598: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	0.6302139361370159	0.30270306436207106	0.62876375361528	2	FE IVW	1
prot-a-674	Beta-crystallin B2	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.0556322332097399	0.04948546071684	0.0258557494393461	3	FE IVW	1
prot-a-674	Beta-crystallin B2	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.19529209197122196	0.0394598035206728	0.0304689715597034	3	FE IVW	1
prot-a-674	Beta-crystallin B2	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0018395166468288399	0.153116910944357	0.0491548774872783	3	FE IVW	1
met-a-362	Betaine	7806.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.05898609625115099	-0.39872619855207897	0.21115651226097099	3	FE IVW	1
met-a-362	Betaine	7806.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.300013322375488	-0.17348911516055301	0.16739512564281603	3	FE IVW	1
met-a-362	Betaine	7806.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0030129349475072	-1.1507991582052701	0.387942720086117	3	FE IVW	1
ebi-a-GCST006368	Body mass index	315347.0	NA	NA	European	2018	Hoffmann TJ	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.0199335802651758	-0.112869944870014	0.048492074156656	109	Penalised median	0.76
ebi-a-GCST006368	Body mass index	315347.0	NA	NA	European	2018	Hoffmann TJ	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.005319894353579321	-0.44645097105620896	0.157141824873044	116	Penalised mode	0.8
ebi-a-GCST006368	Body mass index	315347.0	NA	NA	European	2018	Hoffmann TJ	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	6.04976749513724e-4	-0.225280091853626	0.0641652509483625	138	Simple mean	0.74
ieu-a-94	Body mass index	60586.0	Males	NA	European	2013	Randall JC	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	1.76674410319908e-4	-0.317543859649123	0.0846732322209419	10	Simple median	0.76
ieu-a-94	Body mass index	60586.0	Males	NA	European	2013	Randall JC	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	3.142128372817e-4	-0.357900432900433	0.0993259732793144	6	Simple median	0.74
ieu-a-94	Body mass index	60586.0	Males	NA	European	2013	Randall JC	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0015521129596695	-0.46635754827728704	0.147359563510263	6	Weighted median	0.71
ieu-a-974	Body mass index	171977.0	Females	NA	European	2015	Locke AE	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	9.78811784289222e-13	-0.788037146309407	0.11047063164208198	25	FE Egger	0.76
ieu-a-974	Body mass index	171977.0	Females	NA	European	2015	Locke AE	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.43091719750205504	-0.0888373100186852	0.111101149382104	28	Penalised mode	0.73
ieu-a-974	Body mass index	171977.0	Females	NA	European	2015	Locke AE	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0593440373764974	-0.35574018781190403	0.18099085466895898	29	Penalised mode	0.76
ieu-a-835	Body mass index	322154.0	Males and Females	NA	European	2015	Locke AE	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.585112675460065	-0.11217997810864301	0.204458546979088	66	Simple mode	0.77
ieu-a-835	Body mass index	322154.0	Males and Females	NA	European	2015	Locke AE	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	1.5932413809165302e-4	-0.46319444580039204	0.11357371449052	52	Penalised mode	0.76
ieu-a-835	Body mass index	322154.0	Males and Females	NA	European	2015	Locke AE	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	7.936009660439611e-4	-0.32155738481732	0.0913477025681012	66	RE IVW	0.77
prot-a-390	C-C motif chemokine 14	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	1.40178950964814e-4	-0.0264291791215105	0.00694070489500146	3	FE IVW	1
prot-a-390	C-C motif chemokine 14	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.00142481016693777	-0.0255650506098334	0.00801518446318239	3	FE IVW	1
prot-a-390	C-C motif chemokine 14	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.8592789240819692	0.0038475747040316	0.0217018909922579	3	FE IVW	1
prot-a-392	C-C motif chemokine 15	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.627755588424236	-0.00393283962053696	0.00811081581307394	3	FE IVW	1
prot-a-392	C-C motif chemokine 15	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.273177653765691	-0.0106047315003671	0.00967784480555324	3	FE IVW	1
prot-a-392	C-C motif chemokine 15	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	2.1052599021880598e-29	0.0200859362252506	0.0017840830676409	3	FE IVW	1
prot-a-399	C-C motif chemokine 23	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.24001031135162498	0.0145685686188985	0.0123991931474028	3	FE IVW	1
prot-a-399	C-C motif chemokine 23	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.254758279209934	0.0138109442726268	0.0121269068582089	3	FE IVW	1
prot-a-399	C-C motif chemokine 23	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	3.83765842689446e-4	-0.0294800196891238	0.00830188500301734	3	FE IVW	1
ebi-a-GCST005067	C-reactive protein levels	9541.0	NA	NA	European	2017	Prins BP	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	2.10320512765985e-4	0.0786688205356292	0.0212257806013919	3	FE IVW	1
ebi-a-GCST005067	C-reactive protein levels	9541.0	NA	NA	European	2017	Prins BP	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	4.954317253062589e-74	0.101258548428483	0.00556297291812427	3	FE IVW	1
ebi-a-GCST005067	C-reactive protein levels	9541.0	NA	NA	European	2017	Prins BP	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.39545931974905396	0.0254383332394308	0.0299359532273063	3	FE IVW	1
prot-a-426	CD209 antigen	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.9899099531667909	2.4565337669645097e-4	0.0194248664536458	2	FE IVW	1
prot-a-426	CD209 antigen	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.940415140860986	0.0017351622157077199	0.0232134642238974	2	FE IVW	1
prot-a-426	CD209 antigen	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	2.84242894940477e-4	-0.0230353005324622	0.00634711949658705	2	FE IVW	1
prot-a-735	CUB and zona pellucida-like domain-containing protein 1	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	2.9413895368425603e-37	0.0214789686531471	0.0016840265098530698	2	FE IVW	1
prot-a-735	CUB and zona pellucida-like domain-containing protein 1	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	2.0294584639231801e-10	0.0219824606631196	0.00345685362507123	2	FE IVW	1
prot-a-735	CUB and zona pellucida-like domain-containing protein 1	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.40924802568403296	0.00756804377768597	0.00917096675328553	2	FE IVW	1
prot-a-486	Cadherin-7	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	4.00822727825505e-4	-0.0489643696082169	0.0138335345016826	4	FE IVW	1
prot-a-486	Cadherin-7	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.0025785468381020003	-0.049676479385830995	0.016482083824016	4	FE IVW	1
prot-a-486	Cadherin-7	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0172188327338234	-0.0211448251366371	0.00887691555425698	4	FE IVW	1
prot-a-488	Cadherin-related family member 3	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	1.35843281326763e-15	-0.0886390266615601	0.0110948892609327	2	FE IVW	1
prot-a-488	Cadherin-related family member 3	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.00408629975398329	-0.0997011081348273	0.0347218618057974	2	FE IVW	1
prot-a-488	Cadherin-related family member 3	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	6.26051997970961e-11	-0.112214583700935	0.0171650657387005	2	FE IVW	1
prot-a-346	Calcium/calmodulin-dependent protein kinase type 1	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	1.34858011838607e-5	-0.0314245639826935	0.00722060121376643	5	FE IVW	1
prot-a-346	Calcium/calmodulin-dependent protein kinase type 1	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	7.05154939139566e-4	-0.0262282553624289	0.0077425052917724	5	FE IVW	1
prot-a-346	Calcium/calmodulin-dependent protein kinase type 1	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.0123640782496099	-0.0254821408597206	0.0101864217639491	5	FE IVW	1
prot-a-347	Calcium/calmodulin-dependent protein kinase type 1D	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.103045780393294	-0.024401650273297996	0.0149679162830782	3	FE IVW	1
prot-a-347	Calcium/calmodulin-dependent protein kinase type 1D	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.015507819055786	-0.048165686219332	0.019900730634845	3	FE IVW	1
prot-a-347	Calcium/calmodulin-dependent protein kinase type 1D	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	7.52260473845463e-4	0.0232489619409013	0.0068992358746752394	3	FE IVW	1
prot-a-366	Calpastatin	3301.0	Males and Females	NA	European	2018	Sun BB	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	3.4063278007281496e-9	0.0549106731744627	0.00929002733512511	4	FE IVW	1
