exposure.id	exposure	outcome	nsnp	effect_direction	used_instrument	exposure_cat	method	egger_intercept	egger_intercept_less_than_0.05	heterogeneity_Q_pval	heterogeneity_Q_pval_less_than_0.05	Fst	hazards	used_inst_code
ukb-b-6500	Pancake intake	BCAC'17	4	overlaps null	NA	Diet and supplements	Inverse variance weighted	-0.01165053034800771	TRUE	0.5710418645400205	FALSE	37.20141355132668		*
ukb-b-8006	Poultry intake	BCAC'17	7	overlaps null	NA	Diet and supplements	Inverse variance weighted	0.09783023783998104	FALSE	1.508754354094754e-7	TRUE	32.55411711928235	HP	*
ukb-b-11189	Type of special diet followed: Gluten-free	BCAC'17	3	overlaps null	NA	Diet and supplements	Inverse variance weighted	-0.01267230212516536	TRUE	0.460232448090185	FALSE	79.85451212258388		*
ukb-b-15555	Unsalted peanuts intake	BCAC'17	5	overlaps null	NA	Diet and supplements	Inverse variance weighted	0.01145735720661634	TRUE	0.02194591567591004	TRUE	32.90703299372142	H	*
ukb-b-17422	Age at menopause (last menstrual period)	BCAC'17	102	positive	NA	Reproductive	Inverse variance weighted	-0.00145976263561682	TRUE	1.942373380958276e-36	TRUE	87.62585682262186	H	*
ukb-b-4564	Age last used hormone-replacement therapy (HRT)	BCAC'17	4	overlaps null	NA	Reproductive	Inverse variance weighted	-0.03340855676007755	TRUE	1.762469229384049e-5	TRUE	39.42712396175803	H	*
ukb-b-6445	Ever had hysterectomy (womb removed)	BCAC'17	3	overlaps null	NA	Reproductive	Inverse variance weighted	0.1568028463081771	FALSE	9.867505220414213e-9	TRUE	34.01845041178955	HP	*
ukb-b-18541	Ever used hormone-replacement therapy (HRT)	BCAC'17	6	overlaps null	NA	Reproductive	Inverse variance weighted	-0.00973246089793588	TRUE	1.313438793558706e-7	TRUE	64.72525380269813	H	*
ukb-a-316	Had menopause	BCAC'17	7	negative	NA	Reproductive	Inverse variance weighted	0.0256040049169651	TRUE	2.98304460927405e-10	TRUE	56.53409747288422	H	*
ukb-b-1209	Number of live births	BCAC'17	10	overlaps null	NA	Reproductive	Inverse variance weighted	0.04102680583847622	TRUE	2.385119292963581e-8	TRUE	39.62699726887085	H	*
ukb-a-30	Average weekly fortified wine intake	BCAC'17	2	overlaps null	NA	Alcohol	Inverse variance weighted	NA	NA	0.7612264305610582	FALSE	31.05356674235239	X	*
ukb-b-1707	Average weekly spirits intake	BCAC'17	3	overlaps null	NA	Alcohol	Inverse variance weighted	-0.1021612521281807	FALSE	3.852718563704859e-12	TRUE	38.45534914839114	HP	*
ukb-d-20406	Ever addicted to alcohol	BCAC'17	2	overlaps null	NA	Alcohol	Inverse variance weighted	NA	NA	0.987670592738482	FALSE	36.38942648245982	X	*
ukb-b-4801	Number of unsuccessful stop-smoking attempts	BCAC'17	3	overlaps null	NA	Smoking	Inverse variance weighted	-0.0992539582275166	FALSE	6.524432635994983e-7	TRUE	35.42741736850068	HP	*
ukb-d-22506_114	Tobacco smoking: Never smoked	BCAC'17	3	negative	NA	Smoking	Inverse variance weighted	0.1281804317349799	FALSE	0.1910559143837357	FALSE	34.5129291148215	P	*
met-a-558	1-arachidonoylglycerophosphocholine*	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	-0.00143901275467794	TRUE	0.7964488316538593	FALSE	168.3342605450486		*
met-a-427	2-hydroxyisobutyrate	BCAC'17	2	overlaps null	NA	Metabolites	Inverse variance weighted	NA	NA	0.8272081296109414	FALSE	30.63909625736022	X	*
met-a-500	3-dehydrocarnitine*	BCAC'17	3	negative	NA	Metabolites	Inverse variance weighted	0.00304152862013819	TRUE	0.6549555247504649	FALSE	61.43325754993746		*
met-a-362	Betaine	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	-0.0271521410052714	TRUE	0.06018020152958575	FALSE	68.90566696191642		*
met-a-618	Decanoylcarnitine	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	0.00604862629767568	TRUE	0.7291506076433941	FALSE	133.5197499487647		*
met-a-573	Isobutyrylcarnitine	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	0.00684375236924402	TRUE	0.5717506736488314	FALSE	107.6438278663202		*
met-a-652	Isovalerylcarnitine	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	0.1377278097944436	FALSE	0.008632100902651	TRUE	125.413833564483	HP	*
met-a-615	Octanoylcarnitine	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	0.00396763748595076	TRUE	0.7616485167095762	FALSE	179.6339723838852		*
met-a-501	Pyroglutamine*	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	-0.0037629891161304	TRUE	0.7029585086878203	FALSE	63.98832360292518		*
met-a-316	Uridine	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	-7.551601492048474e-4	TRUE	0.8384478512836526	FALSE	42.95377459213933		*
met-a-485	X-02269	BCAC'17	2	overlaps null	NA	Metabolites	Inverse variance weighted	NA	NA	0.6550520083706324	FALSE	47.5504847174692	X	*
met-a-505	X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide	BCAC'17	4	overlaps null	NA	Metabolites	Inverse variance weighted	-0.01287897593704103	TRUE	0.8812797391441681	FALSE	83.60876876910294		*
met-a-444	X-10510	BCAC'17	3	positive	NA	Metabolites	Inverse variance weighted	-0.01224103750109498	TRUE	0.5027612534383014	FALSE	76.50832914696583		*
met-a-495	X-11315	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	0.02094855478585926	TRUE	0.0199082635601654	TRUE	46.37255676734271	H	*
met-a-513	X-11440	BCAC'17	3	negative	NA	Metabolites	Inverse variance weighted	0.00242365022054354	TRUE	0.9355232167085992	FALSE	244.5423088921893		*
met-a-517	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate	BCAC'17	2	negative	NA	Metabolites	Inverse variance weighted	NA	NA	0.3172531544848242	FALSE	39.22724454291443	X	*
met-a-519	X-11469	BCAC'17	2	overlaps null	NA	Metabolites	Inverse variance weighted	NA	NA	0.5566938216471882	FALSE	53.76216759937966	X	*
met-a-629	X-12510--2-aminooctanoic acid	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	0.00791504703812316	TRUE	0.1372067737261196	FALSE	272.1896632149898		*
met-a-667	X-12850	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	-0.04984056956835207	TRUE	0.00211343412745219	TRUE	45.37117900025483	H	*
met-c-841	Albumin	BCAC'17	3	overlaps null	NA	Metabolites	Inverse variance weighted	NA	NA	NA	NA	NA	NA	*
prot-a-67	Alcohol dehydrogenase [NADP(+)]	BCAC'17	3	negative	genome-wide	Proteins	Inverse variance weighted	-0.00702958996509141	TRUE	0.4056408400223943	FALSE	423.4249298787807		
prot-a-1154	Alpha-(1,6)-fucosyltransferase	BCAC'17	6	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	0.00463461618998077	TRUE	0.136227586955219	FALSE	339.0459215397952		*
prot-a-1411	Alpha-L-iduronidase	BCAC'17	5	positive	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	0.00125617626199692	TRUE	0.5162631759881925	FALSE	208.2893671787319		*
prot-a-674	Beta-crystallin B2	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.1358732383216573	FALSE	2.576031021339306e-4	TRUE	41.77012977463773	HP	
prot-a-390	C-C motif chemokine 14	BCAC'17	3	negative	genome-wide	Proteins	Inverse variance weighted	-0.00858990190519276	TRUE	0.7131389190740259	FALSE	214.2442466442593		
prot-a-392	C-C motif chemokine 15	BCAC'17	2	overlaps null	genome-wide	Proteins	Inverse variance weighted	NA	NA	0.06752601296186801	FALSE	879.2523876035812	X	
prot-a-399	C-C motif chemokine 23	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.04157074362751854	TRUE	0.2848187588262035	FALSE	230.6244697341696		
prot-a-426	CD209 antigen	BCAC'17	2	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	NA	NA	0.7882836753877669	FALSE	127.9808934013725	X	*
prot-a-735	CUB and zona pellucida-like domain-containing protein 1	BCAC'17	2	positive	genome-wide	Proteins	Inverse variance weighted	NA	NA	0.8534830426216721	FALSE	563.0577294429054	X	
prot-a-486	Cadherin-7	BCAC'17	4	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01666226023146689	TRUE	0.01191222454898159	TRUE	97.42070837547986	H	
prot-a-488	Cadherin-related family member 3	BCAC'17	2	negative	genome-wide	Proteins	Inverse variance weighted	NA	NA	0.7481955060959653	FALSE	31.20348684205774	X	
prot-a-346	Calcium/calmodulin-dependent protein kinase type 1	BCAC'17	3	negative	genome-wide	Proteins	Inverse variance weighted	-0.02363442091755319	TRUE	0.5845380993536934	FALSE	962.121209780234		
prot-a-347	Calcium/calmodulin-dependent protein kinase type 1D	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01686226772899492	TRUE	0.4389590184417485	FALSE	84.64450553078537		
prot-a-366	Calpastatin	BCAC'17	4	positive	genome-wide	Proteins	Inverse variance weighted	0.00535811211418655	TRUE	0.829351254199519	FALSE	59.14026241650159		
prot-a-710	Cardiotrophin-1	BCAC'17	3	negative	genome-wide	Proteins	Inverse variance weighted	0.1483947073134579	FALSE	0.2713114091732415	FALSE	313.5289337034602	P	
prot-a-532	Cell growth regulator with EF hand domain protein 1	BCAC'17	4	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01022123450923423	TRUE	0.4832476484153913	FALSE	64.08736259726435		
prot-a-381	Coiled-coil domain-containing protein 134	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.07299555512841355	FALSE	0.06135700499836426	FALSE	36.55050076075315	P	
prot-a-305	Complement C1q tumor necrosis factor-related protein 5	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-521	Complement factor H-related protein 5	BCAC'17	4	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	-0.00469931014451609	TRUE	0.8059689385256872	FALSE	193.0158360210202		*
prot-a-609	Contactin-5	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-197	Cyclic AMP-dependent transcription factor ATF-6 alpha	BCAC'17	1	overlaps null	cis_lessStringent_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-706	Cystatin-8	BCAC'17	2	overlaps null	genome-wide	Proteins	Inverse variance weighted	NA	NA	0.4569043238706182	FALSE	494.8398529210534	X	
prot-a-760	Cytohesin-4	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01388890449577054	TRUE	0.7855498634059019	FALSE	33.70141112540525		
prot-a-2486	DNA repair protein RAD51 homolog 4	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.02072295385814064	TRUE	0.02451842899149712	TRUE	161.6045166902148	H	
prot-a-831	Delta-like protein 1	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-2629	Diamine acetyltransferase 2	BCAC'17	1	negative	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-766	Discoidin, CUB and LCCL domain-containing protein 2	BCAC'17	2	negative	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	NA	NA	0.9072601267520486	FALSE	121.2542911551586	X	*
prot-a-836	DnaJ homolog subfamily B member 11	BCAC'17	1	positive	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-842	DnaJ homolog subfamily B member 9	BCAC'17	4	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.00184963028787437	TRUE	0.1693463531547165	FALSE	103.0020698695623		
prot-a-586	Dual specificity protein kinase CLK2	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01240519499447941	TRUE	0.4360130439820272	FALSE	131.244178105077		
prot-a-884	Endothelin-converting enzyme 1	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.02051684559219562	TRUE	0.2605327300146403	FALSE	54.59631171122775		
prot-a-1835	Epididymis-specific alpha-mannosidase	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-977	Epiregulin	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-2892	Estrogen sulfotransferase	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01955070378069888	TRUE	0.04210466414080954	TRUE	123.0106694348609	H	
prot-a-2891	Extracellular sulfatase Sulf-2	BCAC'17	3	negative	genome-wide	Proteins	Inverse variance weighted	-0.05114288104375098	FALSE	0.2882771907510878	FALSE	67.10473261199236	P	
prot-a-1148	Ferritin	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.00259378584597514	TRUE	0.1023584471805304	FALSE	138.9306936735618		
prot-a-1097	Fibroblast growth factor 7	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-1117	Filamin-A	BCAC'17	2	overlaps null	genome-wide	Proteins	Inverse variance weighted	NA	NA	0.8573866752000946	FALSE	36.17005979803775	X	
prot-a-1414	Gamma-interferon-inducible protein 16	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-1178	Guanylate-binding protein 6	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01686616985295273	TRUE	0.3338151115573181	FALSE	67.34014130701094		
prot-a-10	Histo-blood group ABO system transferase	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.02132564140703951	TRUE	0.06461984555533623	FALSE	3559.461537429006		
prot-a-2904	Histone-lysine N-methyltransferase SUV420H2	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01072922267197038	TRUE	0.6745002946829283	FALSE	32.81934833667277		
prot-a-1576	Immunoglobulin superfamily containing leucine-rich repeat protein 2	BCAC'17	1	negative	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-1586	Inter-alpha-trypsin inhibitor heavy chain H1	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-1506	Interleukin-21	BCAC'17	3	positive	genome-wide	Proteins	Inverse variance weighted	-0.00902681777179196	TRUE	0.5550780987364352	FALSE	81.0257592830157		
prot-a-1530	Interleukin-3 receptor subunit alpha	BCAC'17	3	negative	genome-wide	Proteins	Inverse variance weighted	0.01439838177716294	TRUE	0.01981461626661044	TRUE	352.2335840831743	H	
prot-a-1526	Interleukin-36 alpha	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.013585233903523	TRUE	0.3885969979666034	FALSE	94.8699216292012		
prot-a-1666	Kallikrein-7	BCAC'17	3	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	-0.0060433948915718	TRUE	0.7465147870145811	FALSE	139.8640987105111		*
prot-a-1644	Killer cell immunoglobulin-like receptor 2DL5A	BCAC'17	2	positive	genome-wide	Proteins	Inverse variance weighted	NA	NA	0.7074782265314826	FALSE	1138.520534635741	X	
prot-a-2666	L-Selectin	BCAC'17	2	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	NA	NA	0.06058308490836479	FALSE	253.2963034464285	X	*
prot-a-1744	Leukocyte immunoglobulin-like receptor subfamily B member 2	BCAC'17	3	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	-3.925237826067181e-4	TRUE	0.6028387646419241	FALSE	285.5110920239602		*
prot-a-2356	Lysosomal Pro-X carboxypeptidase	BCAC'17	1	overlaps null	genome-wide	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	
prot-a-1833	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	BCAC'17	3	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	0.04712079927408707	TRUE	0.04444579554357295	TRUE	61.84001603128789	H	*
prot-a-2815	Maspardin	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.00197331980103049	TRUE	0.960987018214148	FALSE	186.4573664593536		
prot-a-1858	Matrilin-3	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.01443440349990662	TRUE	0.5691666571003382	FALSE	36.44678651735981		
prot-a-2396	Myeloblastin	BCAC'17	3	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	0.02121345109232774	TRUE	0.09585166244880931	FALSE	214.0835944165729		*
prot-a-1930	Myeloperoxidase	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-213	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2	BCAC'17	2	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	NA	NA	0.6718826347210972	FALSE	41.2562606308184	X	*
prot-a-2025	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	BCAC'17	2	overlaps null	genome-wide	Proteins	Inverse variance weighted	NA	NA	0.5541371113261698	FALSE	940.5558313085528	X	
prot-a-2007	Neural cell adhesion molecule 1	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.05978322882780293	FALSE	0.1515436063784224	FALSE	40.25916982675071	P	
prot-a-2082	Neuropeptide W	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-2337	Neutrophil-activating peptide 2	BCAC'17	3	positive	genome-wide	Proteins	Inverse variance weighted	0.03183391614837973	TRUE	0.6953480982983061	FALSE	46.33588262140548		
prot-a-1389	Oxidoreductase HTATIP2	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-2087	Oxysterols receptor LXR-beta	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.01398433923969047	TRUE	0.4010424239500623	FALSE	98.06987279002658		
prot-a-2189	PAX-interacting protein 1	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-1.756140842102333e-4	TRUE	0.4524863131487853	FALSE	45.85395231194759		
prot-a-2357	PR domain zinc finger protein 1	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-0.2149755143518167	FALSE	0.02898966296433328	TRUE	321.1628448099249	HP	
prot-a-2341	Peptidyl-prolyl cis-trans isomerase E	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
prot-a-2166	Platelet-activating factor acetylhydrolase IB subunit beta	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.00159617220938628	TRUE	0.4889520530893327	FALSE	51.05793292876007		
prot-a-2308	Plexin-B2	BCAC'17	3	positive	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	0.06178496815470687	FALSE	0.5963924543878577	FALSE	204.5590551445021	P	*
prot-a-1610	Potassium voltage-gated channel subfamily E member 2	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.00110926031664104	TRUE	0.7627780469633947	FALSE	418.8967657570183		
prot-a-2073	Pro-FMRFamide-related neuropeptide FF	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.01160420925044868	TRUE	0.6719982125521025	FALSE	272.3163399028714		
prot-a-648	Probable carboxypeptidase X1	BCAC'17	3	positive	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	-0.00189405425359092	TRUE	0.4465504071483856	FALSE	119.4330829935816		*
prot-a-2427	Prostaglandin F2 receptor negative regulator	BCAC'17	5	overlaps null	cis_5e-08_r2=0.01	Proteins	Inverse variance weighted	-0.00993243766517882	TRUE	0.5522787621017428	FALSE	308.9806139829305		*
prot-a-1049	Protein FAM3B	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	0.05424954602495851	FALSE	8.325657465065027e-6	TRUE	120.7860013076841	HP	
prot-a-2616	Protein S100-A13	BCAC'17	1	positive	genome-wide	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	
prot-a-995	Protein eva-1 homolog C	BCAC'17	3	overlaps null	genome-wide	Proteins	Inverse variance weighted	-5.657490521446719e-4	TRUE	0.6611625055573982	FALSE	219.3082177679388		
prot-a-3093	Protein-tyrosine sulfotransferase 2	BCAC'17	1	overlaps null	cis_5e-08_r2=0.01	Proteins	Wald ratio	NA	NA	NA	NA	NA	X	*
